feature,outcome,n,pearson,spearman
dl_global_covariance_condition_number,adaptive_failure,35,nan,nan
dl_global_estimated_clutter_rank,current_SCNR_improvement_dB,35,nan,nan
dl_global_estimated_clutter_rank,row_ls_SCNR_improvement_dB,35,nan,nan
dl_global_estimated_clutter_rank,best_adaptive_SCNR_improvement_dB,35,nan,nan
dl_global_estimated_clutter_rank,current_failure,35,nan,nan
dl_global_estimated_clutter_rank,row_ls_failure,35,nan,nan
dl_global_estimated_clutter_rank,jdl_failure,35,nan,nan
dl_global_estimated_clutter_rank,adaptive_failure,35,nan,nan
current_residual_p95_dB_over_input_median,current_SCNR_improvement_dB,35,0.11105188865224883,0.0789329762934591
current_residual_p95_dB_over_input_median,row_ls_SCNR_improvement_dB,35,0.11364437604076436,0.044526294319387184
current_residual_p95_dB_over_input_median,best_adaptive_SCNR_improvement_dB,35,-0.02351484174732282,-0.07201440432144052
current_residual_p95_dB_over_input_median,current_failure,35,0.0,0.0
current_residual_p95_dB_over_input_median,row_ls_failure,35,0.0,0.0
current_residual_p95_dB_over_input_median,jdl_failure,35,nan,nan
current_residual_p95_dB_over_input_median,adaptive_failure,35,nan,nan
current_residual_p99_dB_over_input_median,current_SCNR_improvement_dB,35,-0.06166287135265317,-0.10726789086034186
current_residual_p99_dB_over_input_median,row_ls_SCNR_improvement_dB,35,-0.030076884231660175,-0.04655021678845024
current_residual_p99_dB_over_input_median,best_adaptive_SCNR_improvement_dB,35,-0.034545835372277976,-0.18003601080360124
current_residual_p99_dB_over_input_median,current_failure,35,1.9574896199398468e-18,0.0
current_residual_p99_dB_over_input_median,row_ls_failure,35,1.9574896199398468e-18,0.0
current_residual_p99_dB_over_input_median,jdl_failure,35,nan,nan
current_residual_p99_dB_over_input_median,adaptive_failure,35,nan,nan
