metric,comparison,delay_error_ns,expected_block_count,block_count,missing_block_count,duplicate_block_delay_count,unavailable_block_count,status,reason
velocity_rmse_mps_ground_speed,A1_to_A2,-1,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed
velocity_rmse_mps_ground_speed,A1_to_A3,-1,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed
velocity_rmse_mps_ground_speed,A1_to_A2,1,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed
velocity_rmse_mps_ground_speed,A1_to_A3,1,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed
velocity_rmse_mps_ground_speed,A1_to_A2,2,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed
velocity_rmse_mps_ground_speed,A1_to_A3,2,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed
velocity_rmse_mps_ground_speed,A1_to_A2,4,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed
velocity_rmse_mps_ground_speed,A1_to_A3,4,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed
velocity_rmse_mps_ground_speed,A1_to_A2,8,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed
velocity_rmse_mps_ground_speed,A1_to_A3,8,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed
