feature,outcome,n,pearson,spearman
dl_global_covariance_condition_number,row_ls_failure,90,0.06529506089802627,0.004689166003116979
dl_global_covariance_condition_number,jdl_failure,90,nan,nan
dl_global_covariance_condition_number,adaptive_failure,90,nan,nan
dl_global_estimated_clutter_rank,current_SCNR_improvement_dB,90,0.05188345978722211,0.17269016989491368
dl_global_estimated_clutter_rank,row_ls_SCNR_improvement_dB,90,0.053127062035087165,0.1683988710838978
dl_global_estimated_clutter_rank,best_adaptive_SCNR_improvement_dB,90,0.06341835753381406,-0.21136364810475491
dl_global_estimated_clutter_rank,current_failure,90,-0.13422429056238075,-0.3030436159553581
dl_global_estimated_clutter_rank,row_ls_failure,90,0.04706899559999189,0.05229137932303587
dl_global_estimated_clutter_rank,jdl_failure,90,nan,nan
dl_global_estimated_clutter_rank,adaptive_failure,90,nan,nan
current_residual_p95_dB_over_input_median,current_SCNR_improvement_dB,90,-0.006664033644556934,-0.012262939923436746
current_residual_p95_dB_over_input_median,row_ls_SCNR_improvement_dB,90,-0.024970146504847097,-0.01703232101452356
current_residual_p95_dB_over_input_median,best_adaptive_SCNR_improvement_dB,90,-0.12502149468878046,0.05682215986819444
current_residual_p95_dB_over_input_median,current_failure,90,0.2952659439408041,0.13443934245416356
current_residual_p95_dB_over_input_median,row_ls_failure,90,-0.08769246433937246,-0.07225277925268524
current_residual_p95_dB_over_input_median,jdl_failure,90,nan,nan
current_residual_p95_dB_over_input_median,adaptive_failure,90,nan,nan
current_residual_p99_dB_over_input_median,current_SCNR_improvement_dB,90,-0.003898297362636977,-0.0680174418302695
current_residual_p99_dB_over_input_median,row_ls_SCNR_improvement_dB,90,-0.021326666019162742,-0.07523379531317437
current_residual_p99_dB_over_input_median,best_adaptive_SCNR_improvement_dB,90,-0.12611873441783106,0.07185141265287873
current_residual_p99_dB_over_input_median,current_failure,90,0.2797484533030737,0.13285589103686607
current_residual_p99_dB_over_input_median,row_ls_failure,90,-0.08799449963108316,-0.07408882284924827
current_residual_p99_dB_over_input_median,jdl_failure,90,nan,nan
current_residual_p99_dB_over_input_median,adaptive_failure,90,nan,nan
