split,scene_id,family,snr_db,method,target_id,target_row,target_col,on_hit,off_hit,paired_causal_hit,on_cfar_margin_db,off_cfar_margin_db,delta_cfar_margin_db,on_roi_cells,off_roi_cells,target_only_roi_cells,L_causal_dB,L_target_only_dB,peak_transfer_dB,integrated_roi_energy_candidate,integrated_roi_energy_current,range_centroid_shift_cells,doppler_centroid_shift_cells,peak_bin_shift_cells,roi_spreading_delta_cells,delta_definition,target_only_definition,delta_cell_count,delta_sum_real,delta_sum_imag,delta_energy,delta_peak_abs,delta_peak_real,delta_peak_imag,delta_peak_row,delta_peak_col,delta_centroid_row,delta_centroid_col,delta_spread_rms_cells,target_only_cell_count,target_only_sum_real,target_only_sum_imag,target_only_energy,target_only_peak_abs,target_only_peak_real,target_only_peak_imag,target_only_peak_row,target_only_peak_col,target_only_centroid_row,target_only_centroid_col,target_only_spread_rms_cells,lambda
target_safe_oracle,target_safe_oracle_006,M1,16.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,123,1172,True,False,True,nan,nan,nan,25,25,25,0.0,0.0,0.0,134592406.85291246,134592406.85291246,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-5303.082214385271,-10165.06051044166,134592406.85291246,8885.521011804685,-3992.2124588489532,-7938.181361913681,123,1172,122.9497518320973,1172.3692692319469,0.6189582677088058,25,3438.0712530612946,11453.539265155792,140449720.9187324,8023.564580014729,2317.410400390625,7681.6142578125,123,1173,122.95006447504669,1172.5042335859532,0.6303940299386477,0.25
target_safe_oracle,target_safe_oracle_006,M1,16.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,123,1172,True,False,True,nan,nan,nan,25,25,25,0.0,0.0,0.0,134592406.85291246,134592406.85291246,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-5303.082214385271,-10165.06051044166,134592406.85291246,8885.521011804685,-3992.2124588489532,-7938.181361913681,123,1172,122.9497518320973,1172.3692692319469,0.6189582677088058,25,3438.0712530612946,11453.539265155792,140449720.9187324,8023.564580014729,2317.410400390625,7681.6142578125,123,1173,122.95006447504669,1172.5042335859532,0.6303940299386477,0.5
target_safe_oracle,target_safe_oracle_006,M1,16.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,123,1172,True,False,True,nan,nan,nan,25,25,25,0.0,0.0,0.0,134592406.85291246,134592406.85291246,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-5303.082214385271,-10165.06051044166,134592406.85291246,8885.521011804685,-3992.2124588489532,-7938.181361913681,123,1172,122.9497518320973,1172.3692692319469,0.6189582677088058,25,3438.0712530612946,11453.539265155792,140449720.9187324,8023.564580014729,2317.410400390625,7681.6142578125,123,1173,122.95006447504669,1172.5042335859532,0.6303940299386477,0.75
target_safe_oracle,target_safe_oracle_006,M1,16.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,123,1172,True,False,True,nan,nan,nan,25,25,25,0.0,0.0,0.0,134592406.85291246,134592406.85291246,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-5303.082214385271,-10165.06051044166,134592406.85291246,8885.521011804685,-3992.2124588489532,-7938.181361913681,123,1172,122.9497518320973,1172.3692692319469,0.6189582677088058,25,3438.0712530612946,11453.539265155792,140449720.9187324,8023.564580014729,2317.410400390625,7681.6142578125,123,1173,122.95006447504669,1172.5042335859532,0.6303940299386477,1.0
target_safe_oracle,target_safe_oracle_007,M2,16.0,J0_Current,MISMATCH_B01_S000_R00,43,1309,True,False,True,nan,nan,nan,25,25,25,0.0,0.0,0.0,167327972.5356599,167327972.5356599,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,5109.212172403932,-1709.7127966880798,167327972.5356599,8765.604563643496,-8101.476459980011,3346.924339532852,44,1309,43.54044158486949,1308.970680674716,0.8806113484490847,25,1604.535659790039,1139.676025390625,166577932.11055955,8788.735260610723,5603.58935546875,6770.646484375,43,1309,42.611379596664335,1309.0015489069547,0.8583450234303079,0.0
target_safe_oracle,target_safe_oracle_007,M2,16.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,43,1309,True,False,True,nan,nan,nan,25,25,25,4.226628085444388e-05,0.0012176919060211983,-0.005703131442249952,167329601.00799638,167327972.5356599,0.009804383026903452,-0.001104694535619899,"(0, 0)",7.516674228824627e-05,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,5136.403169110417,-1697.7695889770985,167329601.00799638,8759.850980698704,-8100.2868938446045,3334.7175954580307,44,1309,43.53933689033387,1308.980485057743,0.880686515191373,25,1566.5919189453125,1125.7491760253906,166624644.4330471,8780.112730086033,5520.044921875,6827.84619140625,43,1309,42.61021991208851,1309.0133529681252,0.8585002439143898,0.25
target_safe_oracle,target_safe_oracle_007,M2,16.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,43,1309,True,False,True,nan,nan,nan,25,25,25,-0.000453665693143942,0.002421800384742013,-0.013338745514337462,167310494.30393013,167327972.5356599,0.0197453659088751,-0.002411935774517815,"(0, 0)",3.965902579849967e-05,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,5142.057723224163,-1685.4364198744297,167310494.30393013,8752.153732254537,-8097.257506966591,3321.8392223119736,44,1309,43.53802964909497,1308.990426040625,0.8806510074748832,25,1549.008544921875,1111.693618774414,166670848.55757335,8769.174176413348,5525.376953125,6809.451171875,43,1309,42.60895034121376,1309.0250959089406,0.8585839894679346,0.5
target_safe_oracle,target_safe_oracle_007,M2,16.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,43,1309,True,False,True,nan,nan,nan,25,25,25,-0.000847903724879599,0.0037904721841859525,-0.02290541253676608,167295307.10515592,167327972.5356599,0.029681231044378364,-0.003706665502519968,"(0, 0)",8.924368969132068e-05,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,5147.811973107979,-1673.188073426485,167295307.10515592,8742.51938836657,-8092.397762298584,3308.284103989601,44,1309,43.53673491936697,1309.0003619057604,0.880700592138776,25,1525.7236633300781,1098.2116394042969,166723382.87448224,8755.927896866893,5507.21728515625,6807.1162109375,43,1309,42.60766951965161,1309.0368281973188,0.8587628917395688,0.75
target_safe_oracle,target_safe_oracle_007,M2,16.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,43,1309,True,False,True,nan,nan,nan,25,25,25,-0.0011944813911493395,0.005321226856783023,-0.03440183725638101,167281957.06132942,167327972.5356599,0.03963903401358948,-0.005007273877851048,"(0, 0)",0.0001807760305252426,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,5156.34025259316,-1661.5901596173644,167281957.06132942,8730.955664351073,-8085.31724858284,3295.0313811302185,44,1309,43.53543431099164,1309.0103197087296,0.88079212447961,25,1502.2637786865234,1084.9199523925781,166782158.10432947,8740.379812760855,5487.2412109375,6803.265625,43,1309,42.60637750328797,1309.0485456069835,0.85903635852026,1.0
target_safe_oracle,target_safe_oracle_007,M2,16.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,43,1309,True,False,True,nan,nan,nan,25,25,25,0.07628776269178969,0.07025507672106016,-0.44576520801954833,170293207.33126312,167327972.5356599,0.0007782816221606481,-0.06832874991716409,"(0, 0)",0.010316237710366272,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,6295.241693079472,-2324.4629853889346,170293207.33126312,8327.096821408199,-7694.468235731125,3183.6614208221436,44,1309,43.47211283495233,1308.9714589563382,0.890927586159451,25,825.7375335693359,264.6879119873047,169294548.75232524,8344.486342925547,5379.57958984375,6378.91650390625,43,1309,42.55018709432092,1309.0015231087468,0.8704363013411199,0.25
