split,scene_id,family,snr_db,method,lambda,cancellation_db,scnr_gain_db_vs_current,residual_p95_rad,coherence,phase_rmse_rad,L_causal_min_dB,L_causal_mean_dB,paired_hit_count,on_hit_count,off_hit_count,target_count,current_detected_targets_lost,target_preservation_ok,off_pfa,off_pfa_delta_vs_current,off_false_clusters,off_false_clusters_delta_vs_current,causal_transfer_floor_db,causal_transfer_ok,pfa_acceptable,false_clusters_acceptable,safe
target_safe_oracle,target_safe_oracle_002,M1+M2,14.0,J5_Selective_Physics_Calibration,0.25,7.11233454987376,0.0,2.7658355860857,0.90281457589939,0.476665508738641,0.0,0.0,0,0,0,1,0,True,0.003921659270216963,0.0,0.0,0.0,-0.25,True,True,True,True
target_safe_oracle,target_safe_oracle_002,M1+M2,14.0,J5_Selective_Physics_Calibration,0.5,7.11233454987376,0.0,2.7658355860857,0.90281457589939,0.476665508738641,0.0,0.0,0,0,0,1,0,True,0.003921659270216963,0.0,0.0,0.0,-0.25,True,True,True,True
target_safe_oracle,target_safe_oracle_002,M1+M2,14.0,J5_Selective_Physics_Calibration,0.75,7.11233454987376,0.0,2.7658355860857,0.90281457589939,0.476665508738641,0.0,0.0,0,0,0,1,0,True,0.003921659270216963,0.0,0.0,0.0,-0.25,True,True,True,True
target_safe_oracle,target_safe_oracle_002,M1+M2,14.0,J5_Selective_Physics_Calibration,1.0,7.11233454987376,0.0,2.7658355860857,0.90281457589939,0.476665508738641,0.0,0.0,0,0,0,1,0,True,0.003921659270216963,0.0,0.0,0.0,-0.25,True,True,True,True
target_safe_oracle,target_safe_oracle_002,M1+M2,14.0,J6_Joint_Phase_Surface,0.25,7.11233454987376,0.0,2.7658355860857,0.90281457589939,0.476665508738641,0.0,0.0,0,0,0,1,0,True,0.003921659270216963,0.0,0.0,0.0,-0.25,True,True,True,True
target_safe_oracle,target_safe_oracle_002,M1+M2,14.0,J6_Joint_Phase_Surface,0.5,7.11233454987376,0.0,2.7658355860857,0.90281457589939,0.476665508738641,0.0,0.0,0,0,0,1,0,True,0.003921659270216963,0.0,0.0,0.0,-0.25,True,True,True,True
target_safe_oracle,target_safe_oracle_002,M1+M2,14.0,J6_Joint_Phase_Surface,0.75,7.11233454987376,0.0,2.7658355860857,0.90281457589939,0.476665508738641,0.0,0.0,0,0,0,1,0,True,0.003921659270216963,0.0,0.0,0.0,-0.25,True,True,True,True
target_safe_oracle,target_safe_oracle_002,M1+M2,14.0,J6_Joint_Phase_Surface,1.0,7.11233454987376,0.0,2.7658355860857,0.90281457589939,0.476665508738641,0.0,0.0,0,0,0,1,0,True,0.003921659270216963,0.0,0.0,0.0,-0.25,True,True,True,True
target_safe_oracle,target_safe_oracle_003,M1+M3,14.0,J0_Current,0.0,5.77440188489157,0.0,2.89700603454168,0.868104127410982,0.561446766206251,0.0,0.0,0,0,0,1,0,True,0.010424371301775148,0.0,34.0,0.0,-0.25,True,True,True,True
target_safe_oracle,target_safe_oracle_003,M1+M3,14.0,J5_Selective_Physics_Calibration,0.25,5.77440188489157,0.0,2.89700603454168,0.868104127410982,0.561446766206251,0.0,0.0,0,0,0,1,0,True,0.010424371301775148,0.0,34.0,0.0,-0.25,True,True,True,True
target_safe_oracle,target_safe_oracle_003,M1+M3,14.0,J5_Selective_Physics_Calibration,0.5,5.77440188489157,0.0,2.89700603454168,0.868104127410982,0.561446766206251,0.0,0.0,0,0,0,1,0,True,0.010424371301775148,0.0,34.0,0.0,-0.25,True,True,True,True
target_safe_oracle,target_safe_oracle_003,M1+M3,14.0,J5_Selective_Physics_Calibration,0.75,5.77440188489157,0.0,2.89700603454168,0.868104127410982,0.561446766206251,0.0,0.0,0,0,0,1,0,True,0.010424371301775148,0.0,34.0,0.0,-0.25,True,True,True,True
target_safe_oracle,target_safe_oracle_003,M1+M3,14.0,J5_Selective_Physics_Calibration,1.0,5.77440188489157,0.0,2.89700603454168,0.868104127410982,0.561446766206251,0.0,0.0,0,0,0,1,0,True,0.010424371301775148,0.0,34.0,0.0,-0.25,True,True,True,True
target_safe_oracle,target_safe_oracle_003,M1+M3,14.0,J6_Joint_Phase_Surface,0.25,5.77440188489157,0.0,2.89700603454168,0.868104127410982,0.561446766206251,0.0,0.0,0,0,0,1,0,True,0.010424371301775148,0.0,34.0,0.0,-0.25,True,True,True,True
target_safe_oracle,target_safe_oracle_003,M1+M3,14.0,J6_Joint_Phase_Surface,0.5,5.77440188489157,0.0,2.89700603454168,0.868104127410982,0.561446766206251,0.0,0.0,0,0,0,1,0,True,0.010424371301775148,0.0,34.0,0.0,-0.25,True,True,True,True
target_safe_oracle,target_safe_oracle_003,M1+M3,14.0,J6_Joint_Phase_Surface,0.75,5.77440188489157,0.0,2.89700603454168,0.868104127410982,0.561446766206251,0.0,0.0,0,0,0,1,0,True,0.010424371301775148,0.0,34.0,0.0,-0.25,True,True,True,True
target_safe_oracle,target_safe_oracle_003,M1+M3,14.0,J6_Joint_Phase_Surface,1.0,5.77440188489157,0.0,2.89700603454168,0.868104127410982,0.561446766206251,0.0,0.0,0,0,0,1,0,True,0.010424371301775148,0.0,34.0,0.0,-0.25,True,True,True,True
target_safe_oracle,target_safe_oracle_004,M2+M3,14.0,J0_Current,0.0,4.90210256444905,0.0,1.94557724182257,0.83828383339275,0.593739371023877,0.0,0.0,1,1,0,1,0,True,0.008600298939842209,0.0,11.0,0.0,-0.25,True,True,True,True
target_safe_oracle,target_safe_oracle_004,M2+M3,14.0,J5_Selective_Physics_Calibration,0.25,4.90315715987178,0.001054595422729676,1.94535812372373,0.838323111159231,0.593657932068346,0.0004920038239530661,0.0004920038239530661,1,1,0,1,0,True,0.008600298939842209,0.0,11.0,0.0,-0.25,True,True,True,True
target_safe_oracle,target_safe_oracle_004,M2+M3,14.0,J5_Selective_Physics_Calibration,0.5,4.90393968967006,0.00183712522100965,1.94497285381636,0.838352251082671,0.593598391024706,0.0009908881600254372,0.0009908881600254372,1,1,0,1,0,True,0.00860415125739645,3.852317554241952e-06,11.0,0.0,-0.25,True,False,True,False
target_safe_oracle,target_safe_oracle_004,M2+M3,14.0,J5_Selective_Physics_Calibration,0.75,4.90522198083178,0.003119416382729945,1.94402337102787,0.838399994488538,0.593494991233598,0.0015257482765308411,0.0015257482765308411,1,1,0,1,0,True,0.00860222509861933,1.926158777120976e-06,11.0,0.0,-0.25,True,False,True,False
target_safe_oracle,target_safe_oracle_004,M2+M3,14.0,J5_Selective_Physics_Calibration,1.0,4.90700213178228,0.004899567333229271,1.94417581701991,0.838466227514738,0.593363055771542,0.0020520369961923635,0.0020520369961923635,1,1,0,1,0,True,0.00860607741617357,5.778476331361193e-06,11.0,0.0,-0.25,True,False,True,False
target_safe_oracle,target_safe_oracle_004,M2+M3,14.0,J6_Joint_Phase_Surface,0.25,4.94351032867391,0.04140776422485981,1.93261533428028,0.839819245922512,0.59058107401486,0.026663222717868612,0.026663222717868612,1,1,0,1,0,True,0.00860607741617357,5.778476331361193e-06,9.0,-2.0,-0.25,True,False,True,False
target_safe_oracle,target_safe_oracle_004,M2+M3,14.0,J6_Joint_Phase_Surface,0.5,4.9824283708645,0.08032580641544929,1.92344416530991,0.841249466989148,0.587625220509579,0.04753414460656517,0.04753414460656517,1,1,0,1,0,True,0.008596446622287968,-3.852317554240217e-06,8.0,-3.0,-0.25,True,True,True,True
target_safe_oracle,target_safe_oracle_004,M2+M3,14.0,J6_Joint_Phase_Surface,0.75,5.01615477864414,0.11405221419508926,1.92016624704059,0.842479046322275,0.585099709746989,0.061771194728031845,0.061771194728031845,1,1,0,1,0,True,0.008567554240631164,-3.274469921104445e-05,10.0,-1.0,-0.25,True,True,True,True
target_safe_oracle,target_safe_oracle_004,M2+M3,14.0,J6_Joint_Phase_Surface,1.0,4.70449107407464,-0.19761149037441061,1.94591046868628,0.830757006110946,0.609648229850102,0.07017231924356947,0.07017231924356947,1,1,0,1,0,True,0.008710089990138068,0.0001097910502958592,11.0,0.0,-0.25,True,False,True,False
target_safe_oracle,target_safe_oracle_005,M1+M2+M3,14.0,J0_Current,0.0,4.79194415727107,0.0,2.51453279154506,0.834138113545868,0.607369941724776,0.0,0.0,0,0,0,1,0,True,0.008034008259368836,0.0,19.0,0.0,-0.25,True,True,True,True
target_safe_oracle,target_safe_oracle_005,M1+M2+M3,14.0,J5_Selective_Physics_Calibration,0.25,4.39906992871753,-0.3928742285535396,2.33868298912468,0.818427471294212,0.633899833379173,-10.632828150709706,-10.632828150709706,0,0,0,1,0,True,0.008215067184418145,0.0001810589250493093,21.0,2.0,-0.25,False,False,False,False
target_safe_oracle,target_safe_oracle_005,M1+M2+M3,14.0,J5_Selective_Physics_Calibration,0.5,4.76287019373824,-0.029073963532829872,2.14633902007195,0.833016340941544,0.606118716378576,3.720257002660548,3.720257002660548,0,0,0,1,0,True,0.008076383752465483,4.237549309664759e-05,20.0,1.0,-0.25,True,False,False,False
target_safe_oracle,target_safe_oracle_005,M1+M2+M3,14.0,J5_Selective_Physics_Calibration,0.75,4.68867549718234,-0.10326866008873026,2.08958703796782,0.830136087869275,0.611948424639435,4.597503330272223,4.597503330272223,0,0,0,1,0,True,0.008163060897435898,0.00012905263806706202,20.0,1.0,-0.25,True,False,False,False
target_safe_oracle,target_safe_oracle_005,M1+M2+M3,14.0,J5_Selective_Physics_Calibration,1.0,4.69305805148575,-0.09888610578532031,2.09131666418285,0.830306922370182,0.610636429966978,4.649317695276972,4.649317695276972,0,0,0,1,0,True,0.008122611563116371,8.86033037475354e-05,22.0,3.0,-0.25,True,False,False,False
target_safe_oracle,target_safe_oracle_005,M1+M2+M3,14.0,J6_Joint_Phase_Surface,0.25,4.45430268641264,-0.3376414708584301,2.34449059707596,0.82072201349247,0.629582839667994,-10.812438871491315,-10.812438871491315,0,0,0,1,0,True,0.008205436390532544,0.00017142813116370788,21.0,2.0,-0.25,False,False,False,False
target_safe_oracle,target_safe_oracle_005,M1+M2+M3,14.0,J6_Joint_Phase_Surface,0.5,4.89863411649231,0.10668995922124047,2.14167665309094,0.838155868025815,0.595858218203309,3.7421881111281774,3.7421881111281774,0,0,0,1,0,True,0.008030155941814596,-3.852317554240217e-06,20.0,1.0,-0.25,True,True,False,False
target_safe_oracle,target_safe_oracle_005,M1+M2+M3,14.0,J6_Joint_Phase_Surface,0.75,4.94310064041895,0.15115648314788022,2.02598602479918,0.839802112703431,0.591860525208371,4.3456163184805465,4.3456163184805465,0,0,0,1,0,True,0.008018598989151873,-1.5409270216962603e-05,18.0,-1.0,-0.25,True,True,True,True
target_safe_oracle,target_safe_oracle_005,M1+M2+M3,14.0,J6_Joint_Phase_Surface,1.0,5.00449849907465,0.21255434180358002,2.00218579145865,0.842050677935779,0.587076589499599,4.409245964539956,4.409245964539956,0,0,0,1,0,True,0.008074457593688363,4.044933431952662e-05,19.0,0.0,-0.25,True,False,True,False
target_safe_oracle,target_safe_oracle_006,M1,16.0,J0_Current,0.0,5.79052408233318,0.0,2.77714433683509,0.874772793219988,0.542681505380899,0.0,0.0,1,1,0,1,0,True,0.010227903106508876,0.0,57.0,0.0,-0.25,True,True,True,True
target_safe_oracle,target_safe_oracle_006,M1,16.0,J5_Selective_Physics_Calibration,0.25,5.79052408233318,0.0,2.77714433683509,0.874772793219988,0.542681505380899,0.0,0.0,1,1,0,1,0,True,0.010227903106508876,0.0,57.0,0.0,-0.25,True,True,True,True
target_safe_oracle,target_safe_oracle_006,M1,16.0,J5_Selective_Physics_Calibration,0.5,5.79052408233318,0.0,2.77714433683509,0.874772793219988,0.542681505380899,0.0,0.0,1,1,0,1,0,True,0.010227903106508876,0.0,57.0,0.0,-0.25,True,True,True,True
target_safe_oracle,target_safe_oracle_006,M1,16.0,J5_Selective_Physics_Calibration,0.75,5.79052408233318,0.0,2.77714433683509,0.874772793219988,0.542681505380899,0.0,0.0,1,1,0,1,0,True,0.010227903106508876,0.0,57.0,0.0,-0.25,True,True,True,True
target_safe_oracle,target_safe_oracle_006,M1,16.0,J5_Selective_Physics_Calibration,1.0,5.79052408233318,0.0,2.77714433683509,0.874772793219988,0.542681505380899,0.0,0.0,1,1,0,1,0,True,0.010227903106508876,0.0,57.0,0.0,-0.25,True,True,True,True
target_safe_oracle,target_safe_oracle_006,M1,16.0,J6_Joint_Phase_Surface,0.25,5.79052408233318,0.0,2.77714433683509,0.874772793219988,0.542681505380899,0.0,0.0,1,1,0,1,0,True,0.010227903106508876,0.0,57.0,0.0,-0.25,True,True,True,True
target_safe_oracle,target_safe_oracle_006,M1,16.0,J6_Joint_Phase_Surface,0.5,5.79052408233318,0.0,2.77714433683509,0.874772793219988,0.542681505380899,0.0,0.0,1,1,0,1,0,True,0.010227903106508876,0.0,57.0,0.0,-0.25,True,True,True,True
target_safe_oracle,target_safe_oracle_006,M1,16.0,J6_Joint_Phase_Surface,0.75,5.79052408233318,0.0,2.77714433683509,0.874772793219988,0.542681505380899,0.0,0.0,1,1,0,1,0,True,0.010227903106508876,0.0,57.0,0.0,-0.25,True,True,True,True
target_safe_oracle,target_safe_oracle_006,M1,16.0,J6_Joint_Phase_Surface,1.0,5.79052408233318,0.0,2.77714433683509,0.874772793219988,0.542681505380899,0.0,0.0,1,1,0,1,0,True,0.010227903106508876,0.0,57.0,0.0,-0.25,True,True,True,True
target_safe_oracle,target_safe_oracle_007,M2,16.0,J0_Current,0.0,9.86061290978851,0.0,1.79730869313602,0.948493059743842,0.333795138628161,0.0,0.0,1,1,0,1,0,True,0.0036828155818540436,0.0,0.0,0.0,-0.25,True,True,True,True
target_safe_oracle,target_safe_oracle_007,M2,16.0,J5_Selective_Physics_Calibration,0.25,9.86951814729436,0.008905237505850039,1.7962027402032,0.948599649814918,0.333444448040176,4.226628085444388e-05,4.226628085444388e-05,1,1,0,1,0,True,0.003694372534516765,1.1556952662721519e-05,0.0,0.0,-0.25,True,False,True,False
