split,scene_id,actual_mechanism,role,method,branch,active,fallback,current_cancellation_db,deterministic_cancellation_db,oracle_cancellation_db,recoverable_headroom_db,deterministic_gain_db,remaining_gap_db,recovery_ratio
screen,screen_007,M2,target_off,J5_Selective_Physics_Calibration,D0P1,True,False,8.92300495900661,8.93975187739618,9.48124773035584,0.5582427713492297,0.016746918389570098,0.5414958529596596,0.02999934660881338
screen,screen_007,M2,target_off,J6_Joint_Phase_Surface,D0P0,False,False,8.92300495900661,8.92300495900661,9.48124773035584,0.5582427713492297,0.0,0.5582427713492297,0.0
screen,screen_007,M2,target_on,J0_Current,,True,True,8.92299527276206,8.92299527276206,9.48122785337191,0.5582325806098503,0.0,0.5582325806098503,0.0
screen,screen_007,M2,target_on,J1_D3_delay_only,,True,True,8.92299527276206,8.92299527276206,9.48122785337191,0.5582325806098503,0.0,0.5582325806098503,0.0
screen,screen_007,M2,target_on,J2_P1_phase_only,,True,False,8.92299527276206,8.93974197014522,9.48122785337191,0.5582325806098503,0.01674669738316048,0.5414858832266898,0.029999498354010938
screen,screen_007,M2,target_on,J3_D3_P1_joint,,True,False,8.92299527276206,8.93974197014522,9.48122785337191,0.5582325806098503,0.01674669738316048,0.5414858832266898,0.029999498354010938
screen,screen_007,M2,target_on,J4_D3_P2_joint,,True,False,8.92299527276206,8.93995823570914,9.48122785337191,0.5582325806098503,0.016962962947079774,0.5412696176627705,0.030386909571899778
screen,screen_007,M2,target_on,J5_Selective_Physics_Calibration,D0P1,True,False,8.92299527276206,8.93974197014522,9.48122785337191,0.5582325806098503,0.01674669738316048,0.5414858832266898,0.029999498354010938
screen,screen_007,M2,target_on,J6_Joint_Phase_Surface,D0P0,False,False,8.92299527276206,8.92299527276206,9.48122785337191,0.5582325806098503,0.0,0.5582325806098503,0.0
screen,screen_008,M2,target_off,J0_Current,,True,True,6.45309391539751,6.45309391539751,6.55707041840841,0.10397650301089989,0.0,0.10397650301089989,0.0
screen,screen_008,M2,target_off,J1_D3_delay_only,,True,True,6.45309391539751,6.45309391539751,6.55707041840841,0.10397650301089989,0.0,0.10397650301089989,0.0
screen,screen_008,M2,target_off,J2_P1_phase_only,,True,False,6.45309391539751,6.45765070079301,6.55707041840841,0.10397650301089989,0.00455678539550064,0.09941971761539925,0.043825145716075396
screen,screen_008,M2,target_off,J3_D3_P1_joint,,True,False,6.45309391539751,6.45765070079301,6.55707041840841,0.10397650301089989,0.00455678539550064,0.09941971761539925,0.043825145716075396
screen,screen_008,M2,target_off,J4_D3_P2_joint,,True,False,6.45309391539751,6.45764091497212,6.55707041840841,0.10397650301089989,0.004546999574610133,0.09942950343628976,0.04373103002063331
screen,screen_008,M2,target_off,J5_Selective_Physics_Calibration,D0P1,True,False,6.45309391539751,6.45765070079301,6.55707041840841,0.10397650301089989,0.00455678539550064,0.09941971761539925,0.043825145716075396
screen,screen_008,M2,target_off,J6_Joint_Phase_Surface,D0P0,False,False,6.45309391539751,6.45309391539751,6.55707041840841,0.10397650301089989,0.0,0.10397650301089989,0.0
screen,screen_008,M2,target_on,J0_Current,,True,True,6.45313004773396,6.45313004773396,6.5570229311264,0.10389288339244018,0.0,0.10389288339244018,0.0
screen,screen_008,M2,target_on,J1_D3_delay_only,,True,True,6.45313004773396,6.45313004773396,6.5570229311264,0.10389288339244018,0.0,0.10389288339244018,0.0
screen,screen_008,M2,target_on,J2_P1_phase_only,,True,False,6.45313004773396,6.45768688815272,6.5570229311264,0.10389288339244018,0.004556840418760366,0.09933604297367982,0.043860948603645616
screen,screen_008,M2,target_on,J3_D3_P1_joint,,True,False,6.45313004773396,6.45768688815272,6.5570229311264,0.10389288339244018,0.004556840418760366,0.09933604297367982,0.043860948603645616
screen,screen_008,M2,target_on,J4_D3_P2_joint,,True,False,6.45313004773396,6.45767656883863,6.5570229311264,0.10389288339244018,0.0045465211046700205,0.09934636228777016,0.04376162212666869
screen,screen_008,M2,target_on,J5_Selective_Physics_Calibration,D0P1,True,False,6.45313004773396,6.45768688815272,6.5570229311264,0.10389288339244018,0.004556840418760366,0.09933604297367982,0.043860948603645616
screen,screen_008,M2,target_on,J6_Joint_Phase_Surface,D0P0,False,False,6.45313004773396,6.45313004773396,6.5570229311264,0.10389288339244018,0.0,0.10389288339244018,0.0
screen,screen_012,M1+M2,target_off,J0_Current,,False,True,9.69303949697639,9.69303949697639,10.502723655524,0.8096841585476096,0.0,0.8096841585476096,0.0
screen,screen_012,M1+M2,target_off,J1_D3_delay_only,,False,True,9.69303949697639,9.69303949697639,10.502723655524,0.8096841585476096,0.0,0.8096841585476096,0.0
screen,screen_012,M1+M2,target_off,J2_P1_phase_only,,False,True,9.69303949697639,9.69303949697639,10.502723655524,0.8096841585476096,0.0,0.8096841585476096,0.0
screen,screen_012,M1+M2,target_off,J3_D3_P1_joint,,False,True,9.69303949697639,9.69303949697639,10.502723655524,0.8096841585476096,0.0,0.8096841585476096,0.0
screen,screen_012,M1+M2,target_off,J4_D3_P2_joint,,False,True,9.69303949697639,9.69303949697639,10.502723655524,0.8096841585476096,0.0,0.8096841585476096,0.0
screen,screen_012,M1+M2,target_off,J5_Selective_Physics_Calibration,D0P0,False,True,9.69303949697639,9.69303949697639,10.502723655524,0.8096841585476096,0.0,0.8096841585476096,0.0
screen,screen_012,M1+M2,target_off,J6_Joint_Phase_Surface,D0P0,False,True,9.69303949697639,9.69303949697639,10.502723655524,0.8096841585476096,0.0,0.8096841585476096,0.0
screen,screen_012,M1+M2,target_on,J0_Current,,False,True,9.68793085337806,9.68793085337806,10.5029940526089,0.8150631992308401,0.0,0.8150631992308401,0.0
screen,screen_012,M1+M2,target_on,J1_D3_delay_only,,False,True,9.68793085337806,9.68793085337806,10.5029940526089,0.8150631992308401,0.0,0.8150631992308401,0.0
screen,screen_012,M1+M2,target_on,J2_P1_phase_only,,False,True,9.68793085337806,9.68793085337806,10.5029940526089,0.8150631992308401,0.0,0.8150631992308401,0.0
screen,screen_012,M1+M2,target_on,J3_D3_P1_joint,,False,True,9.68793085337806,9.68793085337806,10.5029940526089,0.8150631992308401,0.0,0.8150631992308401,0.0
screen,screen_012,M1+M2,target_on,J4_D3_P2_joint,,False,True,9.68793085337806,9.68793085337806,10.5029940526089,0.8150631992308401,0.0,0.8150631992308401,0.0
screen,screen_012,M1+M2,target_on,J5_Selective_Physics_Calibration,D0P0,False,True,9.68793085337806,9.68793085337806,10.5029940526089,0.8150631992308401,0.0,0.8150631992308401,0.0
