case_id,factor,factor_level,seed,method,comparison_protocol,threshold_scale,target_detected,background_Pfa
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,DL-SMI/MVDR local,scientific_controlled,1.5,1.0,0.0028315126687907754
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,DL-SMI/MVDR local,scientific_controlled,2.0,1.0,0.0018851464117736307
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,DL-SMI/MVDR local,scientific_controlled,3.0,1.0,0.0009596419359732969
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,DL-SMI/MVDR local,scientific_controlled,5.0,1.0,0.0002825823092095281
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,Shrinkage-SMI/MVDR global,scientific_controlled,0.5,1.0,0.011032089212562586
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,Shrinkage-SMI/MVDR global,scientific_controlled,0.75,1.0,0.006233879532696101
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,Shrinkage-SMI/MVDR global,scientific_controlled,1.0,1.0,0.004392353208921256
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,Shrinkage-SMI/MVDR global,scientific_controlled,1.5,1.0,0.002554619936276741
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,Shrinkage-SMI/MVDR global,scientific_controlled,2.0,1.0,0.0016727355484751935
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,Shrinkage-SMI/MVDR global,scientific_controlled,3.0,1.0,0.0007472310726748596
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,Shrinkage-SMI/MVDR global,scientific_controlled,5.0,1.0,0.00021051433773327263
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,Shrinkage-SMI/MVDR local,scientific_controlled,0.5,1.0,0.010923987255348202
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,Shrinkage-SMI/MVDR local,scientific_controlled,0.75,1.0,0.00631163708086785
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,Shrinkage-SMI/MVDR local,scientific_controlled,1.0,1.0,0.004557350933090578
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,Shrinkage-SMI/MVDR local,scientific_controlled,1.5,1.0,0.0027670307995751784
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,Shrinkage-SMI/MVDR local,scientific_controlled,2.0,1.0,0.0018282506448186922
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,Shrinkage-SMI/MVDR local,scientific_controlled,3.0,1.0,0.0008818843878015476
