split,scene_id,actual_family,role,method,required_delay,required_phase,state,fallback,fallback_reason,global_uncertain,global_decorrelated,blocker,delay_estimate_ns,delay_confidence,delay_rmse_rad,delay_deadband_inside,delay_confidence_ok,delay_fit_ok,delay_support_ok,delay_active_independent,phase_method,phase_estimate_deg_per_pulse,phase_confidence,phase_rmse_rad,phase_deadband_inside,phase_confidence_ok,phase_fit_ok,phase_active_independent,pulse_coherence,estimated_gain_db,oracle_cancellation_db,current_cancellation_db,oracle_headroom_db,recovery_ratio,fallback_opportunity_cost_db,uncertain_headroom_gt_0_5_db,uncertain_headroom_gt_1_db,old_delay_blocked,old_phase_blocked
validation,validation_006,M2,target_on,J2_P1_phase_only,False,True,UNCERTAIN,True,state_uncertain,True,False,delay,-0.22943370477429098,0.003024224414178489,0.09855080945601474,True,True,False,True,False,P1,-0.4265100966616854,0.9997752846418856,0.004099690221613519,False,True,True,True,0.8404000825526048,0.0,18.512173108118,16.0494816636521,2.4626914444659,0.0,2.4626914444659,True,True,False,False
validation,validation_006,M2,target_on,J3_D3_P1_joint,False,True,UNCERTAIN,True,state_uncertain,True,False,delay,-0.22943370477429098,0.003024224414178489,0.09855080945601474,True,True,False,True,False,P1,-0.4265100966616854,0.9997752846418856,0.004099690221613519,False,True,True,True,0.8404000825526048,0.0,18.512173108118,16.0494816636521,2.4626914444659,0.0,2.4626914444659,True,True,False,False
validation,validation_006,M2,target_on,J4_D3_P2_joint,False,True,UNCERTAIN,True,state_uncertain,True,False,delay,-0.22943370477429098,0.003024224414178489,0.09855080945601474,True,True,False,True,False,P2,-0.42668963499454227,0.9998105411075295,0.0038072356322508783,False,True,True,True,0.8404000825526048,0.0,18.512173108118,16.0494816636521,2.4626914444659,0.0,2.4626914444659,True,True,False,False
validation,validation_006,M2,target_off,J1_D3_delay_only,False,True,UNCERTAIN,True,state_uncertain,True,False,delay,-0.22915646897576797,0.0030344855026672723,0.0983241741907856,True,True,False,True,False,P1,-0.42650989237360815,0.9997751988950001,0.004101610845427847,False,True,True,True,0.8404092676862103,0.0,18.5120356387601,16.0494268662189,2.4626087725411985,0.0,2.4626087725411985,True,True,False,False
validation,validation_006,M2,target_off,J2_P1_phase_only,False,True,UNCERTAIN,True,state_uncertain,True,False,delay,-0.22915646897576797,0.0030344855026672723,0.0983241741907856,True,True,False,True,False,P1,-0.42650989237360815,0.9997751988950001,0.004101610845427847,False,True,True,True,0.8404092676862103,0.0,18.5120356387601,16.0494268662189,2.4626087725411985,0.0,2.4626087725411985,True,True,False,False
validation,validation_006,M2,target_off,J3_D3_P1_joint,False,True,UNCERTAIN,True,state_uncertain,True,False,delay,-0.22915646897576797,0.0030344855026672723,0.0983241741907856,True,True,False,True,False,P1,-0.42650989237360815,0.9997751988950001,0.004101610845427847,False,True,True,True,0.8404092676862103,0.0,18.5120356387601,16.0494268662189,2.4626087725411985,0.0,2.4626087725411985,True,True,False,False
validation,validation_006,M2,target_off,J4_D3_P2_joint,False,True,UNCERTAIN,True,state_uncertain,True,False,delay,-0.22915646897576797,0.0030344855026672723,0.0983241741907856,True,True,False,True,False,P2,-0.42668774648074664,0.9998108740886293,0.0038038638894712772,False,True,True,True,0.8404092676862103,0.0,18.5120356387601,16.0494268662189,2.4626087725411985,0.0,2.4626087725411985,True,True,False,False
test,test_000,M1,target_on,J1_D3_delay_only,True,False,DECORRELATED,True,state_decorrelated,False,True,coherence,6.824045311224551,0.6403808681551257,0.08939596133990954,False,True,True,True,False,P1,0.0023082887635317837,0.05090197219228676,0.006425119052380876,True,True,True,False,0.792646183885346,0.0,18.8480243075735,16.3264899620653,2.5215343455082007,0.0,2.5215343455082007,False,False,True,False
test,test_000,M1,target_on,J2_P1_phase_only,True,False,DECORRELATED,True,state_decorrelated,False,True,coherence,6.824045311224551,0.6403808681551257,0.08939596133990954,False,True,True,True,False,P1,0.0023082887635317837,0.05090197219228676,0.006425119052380876,True,True,True,False,0.792646183885346,0.0,18.8480243075735,16.3264899620653,2.5215343455082007,0.0,2.5215343455082007,False,False,True,False
test,test_000,M1,target_on,J3_D3_P1_joint,True,False,DECORRELATED,True,state_decorrelated,False,True,coherence,6.824045311224551,0.6403808681551257,0.08939596133990954,False,True,True,True,False,P1,0.0023082887635317837,0.05090197219228676,0.006425119052380876,True,True,True,False,0.792646183885346,0.0,18.8480243075735,16.3264899620653,2.5215343455082007,0.0,2.5215343455082007,False,False,True,False
test,test_000,M1,target_on,J4_D3_P2_joint,True,False,DECORRELATED,True,state_decorrelated,False,True,coherence,6.824045311224551,0.6403808681551257,0.08939596133990954,False,True,True,True,False,P2,0.0024850578945726245,0.11229424300911472,0.00621537785887037,True,True,True,False,0.792646183885346,0.0,18.8480243075735,16.3264899620653,2.5215343455082007,0.0,2.5215343455082007,False,False,True,False
test,test_000,M1,target_off,J1_D3_delay_only,True,False,DECORRELATED,True,state_decorrelated,False,True,coherence,6.823692081981308,0.640326247702156,0.08940151910624021,False,True,True,True,False,P1,0.002302076917613544,0.0506316950386001,0.006425491689027994,True,True,True,False,0.7926457083664555,0.0,18.844420605036,16.3250744443161,2.5193461607198984,0.0,2.5193461607198984,False,False,True,False
test,test_000,M1,target_off,J2_P1_phase_only,True,False,DECORRELATED,True,state_decorrelated,False,True,coherence,6.823692081981308,0.640326247702156,0.08940151910624021,False,True,True,True,False,P1,0.002302076917613544,0.0506316950386001,0.006425491689027994,True,True,True,False,0.7926457083664555,0.0,18.844420605036,16.3250744443161,2.5193461607198984,0.0,2.5193461607198984,False,False,True,False
test,test_000,M1,target_off,J3_D3_P1_joint,True,False,DECORRELATED,True,state_decorrelated,False,True,coherence,6.823692081981308,0.640326247702156,0.08940151910624021,False,True,True,True,False,P1,0.002302076917613544,0.0506316950386001,0.006425491689027994,True,True,True,False,0.7926457083664555,0.0,18.844420605036,16.3250744443161,2.5193461607198984,0.0,2.5193461607198984,False,False,True,False
test,test_000,M1,target_off,J4_D3_P2_joint,True,False,DECORRELATED,True,state_decorrelated,False,True,coherence,6.823692081981308,0.640326247702156,0.08940151910624021,False,True,True,True,False,P2,0.0024772411189687635,0.11148807130823346,0.006223711256453704,True,True,True,False,0.7926457083664555,0.0,18.844420605036,16.3250744443161,2.5193461607198984,0.0,2.5193461607198984,False,False,True,False
test,test_001,M2,target_on,J1_D3_delay_only,False,True,CALIBRATABLE,True,both_components_inside_null_deadband,False,False,none,0.40259233844666564,0.009505855197291524,0.09403573571679999,True,True,True,True,False,P1,-0.36392507006815755,0.9988768236789868,0.007935598249482898,False,True,True,True,0.8479773096283647,0.0,24.6007142632112,23.1408774142934,1.4598368489177993,0.0,1.4598368489177993,False,False,False,False
test,test_001,M2,target_on,J2_P1_phase_only,False,True,CALIBRATABLE,False,,False,False,none,0.40259233844666564,0.009505855197291524,0.09403573571679999,True,True,True,True,False,P1,-0.36392507006815755,0.9988768236789868,0.007935598249482898,False,True,True,True,0.8479773096283647,0.03857525434539966,24.6007142632112,23.1408774142934,1.4598368489177993,0.02642435993720539,1.4598368489177993,False,False,False,False
test,test_001,M2,target_on,J3_D3_P1_joint,False,True,CALIBRATABLE,False,,False,False,none,0.40259233844666564,0.009505855197291524,0.09403573571679999,True,True,True,True,False,P1,-0.36392507006815755,0.9988768236789868,0.007935598249482898,False,True,True,True,0.8479773096283647,0.03857525434539966,24.6007142632112,23.1408774142934,1.4598368489177993,0.02642435993720539,1.4598368489177993,False,False,False,False
