split,scene_id,family,snr_db,method,target_id,target_row,target_col,on_hit,off_hit,paired_causal_hit,on_cfar_margin_db,off_cfar_margin_db,delta_cfar_margin_db,on_roi_cells,off_roi_cells,target_only_roi_cells,L_causal_dB,L_target_only_dB,peak_transfer_dB,integrated_roi_energy_candidate,integrated_roi_energy_current,range_centroid_shift_cells,doppler_centroid_shift_cells,peak_bin_shift_cells,roi_spreading_delta_cells,delta_definition,target_only_definition,delta_cell_count,delta_sum_real,delta_sum_imag,delta_energy,delta_peak_abs,delta_peak_real,delta_peak_imag,delta_peak_row,delta_peak_col,delta_centroid_row,delta_centroid_col,delta_spread_rms_cells,target_only_cell_count,target_only_sum_real,target_only_sum_imag,target_only_energy,target_only_peak_abs,target_only_peak_real,target_only_peak_imag,target_only_peak_row,target_only_peak_col,target_only_centroid_row,target_only_centroid_col,target_only_spread_rms_cells,oracle_lambda,j7_routing
test_v3,test_v3_003,M3,10.0,J0_Current,MISMATCH_B01_S000_R00,43,869,False,False,False,nan,nan,nan,25,25,25,0.0,0.0,0.0,43872427.78182198,43872427.78182198,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-5680.497846126556,3622.062784910202,43872427.78182198,6199.9706525415095,-5328.977447509766,3168.8539657592773,43,869,42.999781918077,868.974621714556,0.5245144029132887,25,160.727765083313,-125.05208545923233,24915.713943213515,117.35843483256411,90.62815856933594,-74.56231689453125,41,869,42.03076838887099,868.9405098496226,1.5700752359039645,,False
test_v3,test_v3_003,M3,10.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,43,869,False,False,False,nan,nan,nan,25,25,25,0.0,0.0,0.0,43872427.78182198,43872427.78182198,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-5680.497846126556,3622.062784910202,43872427.78182198,6199.9706525415095,-5328.977447509766,3168.8539657592773,43,869,42.999781918077,868.974621714556,0.5245144029132887,25,160.727765083313,-125.05208545923233,24915.713943213515,117.35843483256411,90.62815856933594,-74.56231689453125,41,869,42.03076838887099,868.9405098496226,1.5700752359039645,,False
test_v3,test_v3_003,M3,10.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,43,869,False,False,False,nan,nan,nan,25,25,25,0.0,0.0,0.0,43872427.78182198,43872427.78182198,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-5680.497846126556,3622.062784910202,43872427.78182198,6199.9706525415095,-5328.977447509766,3168.8539657592773,43,869,42.999781918077,868.974621714556,0.5245144029132887,25,160.727765083313,-125.05208545923233,24915.713943213515,117.35843483256411,90.62815856933594,-74.56231689453125,41,869,42.03076838887099,868.9405098496226,1.5700752359039645,,False
test_v3,test_v3_003,M3,10.0,J7_Deterministic_Safe_Expert_Selector,MISMATCH_B01_S000_R00,43,869,False,False,False,nan,nan,nan,25,25,25,0.0,0.0,0.0,43872427.78182198,43872427.78182198,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-5680.497846126556,3622.062784910202,43872427.78182198,6199.9706525415095,-5328.977447509766,3168.8539657592773,43,869,42.999781918077,868.974621714556,0.5245144029132887,25,160.727765083313,-125.05208545923233,24915.713943213515,117.35843483256411,90.62815856933594,-74.56231689453125,41,869,42.03076838887099,868.9405098496226,1.5700752359039645,,True
test_v3,test_v3_003,M3,10.0,Oracle_Safe_Lambda_0_EvaluationOnly,MISMATCH_B01_S000_R00,43,869,False,False,False,nan,nan,nan,25,25,25,0.0,0.0,0.0,43872427.78182198,43872427.78182198,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-5680.497846126556,3622.062784910202,43872427.78182198,6199.9706525415095,-5328.977447509766,3168.8539657592773,43,869,42.999781918077,868.974621714556,0.5245144029132887,25,160.727765083313,-125.05208545923233,24915.713943213515,117.35843483256411,90.62815856933594,-74.56231689453125,41,869,42.03076838887099,868.9405098496226,1.5700752359039645,0.0,False
test_v3,test_v3_004,M1+M2,10.0,J0_Current,MISMATCH_B01_S000_R00,85,1042,True,False,True,nan,nan,nan,25,25,25,0.0,0.0,0.0,37721498.128644854,37721498.128644854,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,1277.2740898416378,-3750.37849240005,37721498.128644854,4633.479679905159,2551.5321369171143,-3867.663079738617,86,1042,85.65558539022499,1042.0957685043134,0.9328750920074181,25,2074.374855041504,2024.4590950012207,36661252.78799513,4592.74107779168,3025.768310546875,3455.140625,86,1042,85.7721260105192,1042.1498808927388,0.7627288402210067,,False
test_v3,test_v3_004,M1+M2,10.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,85,1042,True,False,True,nan,nan,nan,25,25,25,0.06339551554335593,0.0012780750889961664,0.0994522267304103,38276170.828277625,37721498.128644854,-0.18742693831723045,-0.006803183409076041,"(0, 0)",0.013762448368729086,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,1282.3193310499191,-3859.7861509025097,38276170.828277625,4686.837262484157,2627.5715067386627,-3881.019389539957,86,1042,85.64878220681591,1041.9083415659961,0.9466375403761472,25,2106.314655303955,1959.015827178955,36672043.330149315,4695.640006509214,3071.599365234375,3551.663330078125,86,1042,85.77109888824901,1041.914354312527,0.7712558229695178,,False
test_v3,test_v3_004,M1+M2,10.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,85,1042,True,False,True,nan,nan,nan,25,25,25,0.04884010129210601,-0.004899696429819382,0.14145842130419398,38148102.66661863,37721498.128644854,-0.12267358915414661,-0.0073175901346616,"(0, 0)",0.011882789746282763,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,1272.5107423886657,-3886.4962754175067,38148102.66661863,4709.558369380564,2623.97806763649,-3910.841231137514,86,1042,85.64826780009032,1041.9730949151592,0.9447578817537009,25,2068.694694519043,2000.5286140441895,36619915.00302714,4715.403620876006,3043.72509765625,3601.495361328125,86,1042,85.77197068088162,1041.9964958314886,0.764637563678851,,False
test_v3,test_v3_004,M1+M2,10.0,J7_Deterministic_Safe_Expert_Selector,MISMATCH_B01_S000_R00,85,1042,True,False,True,nan,nan,nan,25,25,25,0.0,0.0,0.0,37721498.128644854,37721498.128644854,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,1277.2740898416378,-3750.37849240005,37721498.128644854,4633.479679905159,2551.5321369171143,-3867.663079738617,86,1042,85.65558539022499,1042.0957685043134,0.9328750920074181,25,2074.374855041504,2024.4590950012207,36661252.78799513,4592.74107779168,3025.768310546875,3455.140625,86,1042,85.7721260105192,1042.1498808927388,0.7627288402210067,,True
test_v3,test_v3_004,M1+M2,10.0,Oracle_Safe_Lambda_0_EvaluationOnly,MISMATCH_B01_S000_R00,85,1042,True,False,True,nan,nan,nan,25,25,25,0.0,0.0,0.0,37721498.128644854,37721498.128644854,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,1277.2740898416378,-3750.37849240005,37721498.128644854,4633.479679905159,2551.5321369171143,-3867.663079738617,86,1042,85.65558539022499,1042.0957685043134,0.9328750920074181,25,2074.374855041504,2024.4590950012207,36661252.78799513,4592.74107779168,3025.768310546875,3455.140625,86,1042,85.7721260105192,1042.1498808927388,0.7627288402210067,0.0,False
