split,scene_id,role,method,status,pfa,hit_cells,false_clusters,selected,valid_cfar_test_cells,configured_pf,cfar_mode,oracle_lambda
test_v3,test_v3_006,target_off,Oracle_Safe_Lambda_0_EvaluationOnly,measured,0.01220414201183432,6336,33,33,519168,1e-06,dynamic,0.0
test_v3,test_v3_006,target_on,Oracle_Safe_Lambda_0_EvaluationOnly,measured,0.012190658900394478,6329,33,33,519168,1e-06,dynamic,0.0
test_v3,test_v3_007,target_off,J0_Current,measured,0.011674448348126233,6061,40,40,519168,1e-06,dynamic,
test_v3,test_v3_007,target_on,J0_Current,measured,0.011736085428994084,6093,40,40,519168,1e-06,dynamic,
test_v3,test_v3_007,target_off,J5_Selective_Physics_Calibration,measured,0.011641703648915187,6044,39,39,519168,1e-06,dynamic,
test_v3,test_v3_007,target_on,J5_Selective_Physics_Calibration,measured,0.011709119206114399,6079,39,39,519168,1e-06,dynamic,
test_v3,test_v3_007,target_off,J6_Joint_Phase_Surface,measured,0.01166096523668639,6054,38,38,519168,1e-06,dynamic,
test_v3,test_v3_007,target_on,J6_Joint_Phase_Surface,measured,0.011736085428994084,6093,38,38,519168,1e-06,dynamic,
test_v3,test_v3_007,target_off,J7_Deterministic_Safe_Expert_Selector,measured,0.011674448348126233,6061,40,40,519168,1e-06,dynamic,
test_v3,test_v3_007,target_on,J7_Deterministic_Safe_Expert_Selector,measured,0.011736085428994084,6093,40,40,519168,1e-06,dynamic,
test_v3,test_v3_007,target_off,Oracle_Safe_Lambda_0_EvaluationOnly,measured,0.011674448348126233,6061,40,40,519168,1e-06,dynamic,0.0
test_v3,test_v3_007,target_on,Oracle_Safe_Lambda_0_EvaluationOnly,measured,0.011736085428994084,6093,40,40,519168,1e-06,dynamic,0.0
test_v3,test_v3_008,target_off,J0_Current,measured,0.003657775517751479,1899,42,42,519168,1e-06,dynamic,
test_v3,test_v3_008,target_on,J0_Current,measured,0.0036885940581854043,1915,41,41,519168,1e-06,dynamic,
test_v3,test_v3_008,target_off,J5_Selective_Physics_Calibration,measured,0.003657775517751479,1899,42,42,519168,1e-06,dynamic,
