split,scene_id,family,status,look_angle_deg,true_radial_velocity_mps,true_clutter_ridge_doppler_hz,distance_to_clutter_ridge_hz,distance_to_clutter_ridge_mps
calibration,calibration_023,zero,pass,-50.0,14.062499999999998,1545.32967032967,1545.32967032967,14.062499999999998
calibration,calibration_024,zero,pass,-40.0,29.062499999999993,3193.681318681318,3193.681318681318,29.062499999999993
calibration,calibration_025,zero,pass,-80.0,-25.3125,-2781.5934065934066,2781.5934065934066,25.3125
calibration,calibration_026,zero,pass,-70.0,-2.8124999999999996,-309.065934065934,309.065934065934,2.8124999999999996
calibration,calibration_027,zero,pass,-60.0,-27.187499999999996,-2987.637362637362,2987.637362637362,27.187499999999996
calibration,calibration_028,zero,pass,-50.0,-34.6875,-3811.813186813187,3811.813186813187,34.6875
calibration,calibration_029,zero,pass,-40.0,40.31249999999999,4429.945054945054,4429.945054945054,40.31249999999999
calibration,calibration_030,zero,pass,-80.0,36.5625,4017.8571428571427,4017.8571428571427,36.5625
calibration,calibration_031,zero,pass,-70.0,-30.9375,-3399.7252747252746,3399.7252747252746,30.9375
calibration,calibration_032,zero,pass,-60.0,2.8124999999999982,309.06593406593385,309.06593406593385,2.8124999999999982
calibration,calibration_033,zero,pass,-50.0,6.562499999999999,721.1538461538461,721.1538461538461,6.562499999999999
calibration,calibration_034,zero,pass,-40.0,27.187499999999993,2987.6373626373615,2987.6373626373615,27.187499999999993
calibration,calibration_035,zero,pass,-80.0,-32.8125,-3605.7692307692305,3605.7692307692305,32.8125
calibration,calibration_036,zero,pass,-70.0,-38.43749999999999,-4223.901098901098,4223.901098901098,38.43749999999999
calibration,calibration_037,zero,pass,-60.0,15.9375,1751.3736263736264,1751.3736263736264,15.9375
calibration,calibration_038,zero,pass,-50.0,-17.812499999999996,-1957.417582417582,1957.417582417582,17.812499999999996
calibration,calibration_039,zero,pass,-40.0,-36.5625,-4017.8571428571427,4017.8571428571427,36.5625
calibration,calibration_040,zero,pass,-80.0,4.687499999999999,515.10989010989,515.10989010989,4.687499999999999
calibration,calibration_041,zero,pass,-70.0,17.8125,1957.4175824175823,1957.4175824175823,17.8125
calibration,calibration_042,zero,pass,-60.0,42.1875,4635.989010989011,4635.989010989011,42.1875
calibration,calibration_043,zero,pass,-50.0,34.6875,3811.813186813187,3811.813186813187,34.6875
calibration,calibration_044,zero,pass,-40.0,-29.062499999999993,-3193.681318681318,3193.681318681318,29.062499999999993
calibration,calibration_045,zero,pass,-80.0,-42.1875,-4635.989010989011,4635.989010989011,42.1875
calibration,calibration_046,zero,pass,-70.0,10.312499999999998,1133.241758241758,1133.241758241758,10.312499999999998
calibration,calibration_047,zero,pass,-60.0,23.4375,2575.5494505494503,2575.5494505494503,23.4375
validation,validation_000,zero,pass,-80.0,-14.062499999999998,-1545.32967032967,1545.32967032967,14.062499999999998
validation,validation_001,zero,pass,-70.0,36.5625,4017.8571428571427,4017.8571428571427,36.5625
validation,validation_002,zero,pass,-60.0,30.937499999999996,3399.725274725274,3399.725274725274,30.937499999999996
validation,validation_003,zero,pass,-50.0,19.6875,2163.4615384615386,2163.4615384615386,19.6875
validation,validation_004,zero,pass,-40.0,8.4375,927.1978021978022,927.1978021978022,8.4375
