split,scene_id,actual_mechanism,role,method,branch,active,fallback,current_cancellation_db,deterministic_cancellation_db,oracle_cancellation_db,fallback_opportunity_cost_db,recoverable_headroom_db,deterministic_gain_db,remaining_gap_db,recovery_ratio
test,test_045,M1+M3,target_on,J1_D3_delay_only,,False,True,2.34830850397316,2.34830850397316,5.50468062582075,3.1563721218475904,3.1563721218475904,0.0,3.1563721218475904,0.0
test,test_045,M1+M3,target_on,J2_P1_phase_only,,False,True,2.34830850397316,2.34830850397316,5.50468062582075,3.1563721218475904,3.1563721218475904,0.0,3.1563721218475904,0.0
test,test_045,M1+M3,target_on,J3_D3_P1_joint,,False,True,2.34830850397316,2.34830850397316,5.50468062582075,3.1563721218475904,3.1563721218475904,0.0,3.1563721218475904,0.0
test,test_045,M1+M3,target_on,J4_D3_P2_joint,,False,True,2.34830850397316,2.34830850397316,5.50468062582075,3.1563721218475904,3.1563721218475904,0.0,3.1563721218475904,0.0
test,test_045,M1+M3,target_on,J5_Selective_Physics_Calibration,D0P0,False,True,2.34830850397316,2.34830850397316,5.50468062582075,3.1563721218475904,3.1563721218475904,0.0,3.1563721218475904,0.0
test,test_045,M1+M3,target_on,J6_Joint_Phase_Surface,D0P0,False,True,2.34830850397316,2.34830850397316,5.50468062582075,3.1563721218475904,3.1563721218475904,0.0,3.1563721218475904,0.0
test,test_046,M1+M3,target_off,J0_Current,,False,True,5.348570655147,5.348570655147,5.60186495118489,0.25329429603788967,0.25329429603788967,0.0,0.25329429603788967,0.0
test,test_046,M1+M3,target_off,J1_D3_delay_only,,False,True,5.348570655147,5.348570655147,5.60186495118489,0.25329429603788967,0.25329429603788967,0.0,0.25329429603788967,0.0
test,test_046,M1+M3,target_off,J2_P1_phase_only,,False,True,5.348570655147,5.348570655147,5.60186495118489,0.25329429603788967,0.25329429603788967,0.0,0.25329429603788967,0.0
test,test_046,M1+M3,target_off,J3_D3_P1_joint,,False,True,5.348570655147,5.348570655147,5.60186495118489,0.25329429603788967,0.25329429603788967,0.0,0.25329429603788967,0.0
test,test_046,M1+M3,target_off,J4_D3_P2_joint,,False,True,5.348570655147,5.348570655147,5.60186495118489,0.25329429603788967,0.25329429603788967,0.0,0.25329429603788967,0.0
test,test_046,M1+M3,target_off,J5_Selective_Physics_Calibration,D0P0,False,True,5.348570655147,5.348570655147,5.60186495118489,0.25329429603788967,0.25329429603788967,0.0,0.25329429603788967,0.0
test,test_046,M1+M3,target_off,J6_Joint_Phase_Surface,D0P0,False,True,5.348570655147,5.348570655147,5.60186495118489,0.25329429603788967,0.25329429603788967,0.0,0.25329429603788967,0.0
test,test_046,M1+M3,target_on,J0_Current,,False,True,5.34766756416787,5.34766756416787,5.60212496740765,0.2544574032397797,0.2544574032397797,0.0,0.2544574032397797,0.0
test,test_046,M1+M3,target_on,J1_D3_delay_only,,False,True,5.34766756416787,5.34766756416787,5.60212496740765,0.2544574032397797,0.2544574032397797,0.0,0.2544574032397797,0.0
test,test_046,M1+M3,target_on,J2_P1_phase_only,,False,True,5.34766756416787,5.34766756416787,5.60212496740765,0.2544574032397797,0.2544574032397797,0.0,0.2544574032397797,0.0
test,test_046,M1+M3,target_on,J3_D3_P1_joint,,False,True,5.34766756416787,5.34766756416787,5.60212496740765,0.2544574032397797,0.2544574032397797,0.0,0.2544574032397797,0.0
