split,scene_id,family,snr_db,method,target_id,target_row,target_col,on_hit,off_hit,paired_causal_hit,on_cfar_margin_db,off_cfar_margin_db,delta_cfar_margin_db,on_roi_cells,off_roi_cells,target_only_roi_cells,L_causal_dB,L_target_only_dB,peak_transfer_dB,integrated_roi_energy_candidate,integrated_roi_energy_current,range_centroid_shift_cells,doppler_centroid_shift_cells,peak_bin_shift_cells,roi_spreading_delta_cells,delta_definition,target_only_definition,delta_cell_count,delta_sum_real,delta_sum_imag,delta_energy,delta_peak_abs,delta_peak_real,delta_peak_imag,delta_peak_row,delta_peak_col,delta_centroid_row,delta_centroid_col,delta_spread_rms_cells,target_only_cell_count,target_only_sum_real,target_only_sum_imag,target_only_energy,target_only_peak_abs,target_only_peak_real,target_only_peak_imag,target_only_peak_row,target_only_peak_col,target_only_centroid_row,target_only_centroid_col,target_only_spread_rms_cells
target_transfer_snr_screen,target_transfer_snr_screen_006,M1,14.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,123,1172,True,False,True,nan,nan,nan,25,25,25,0.0,0.0,0.0,110062990.72106768,110062990.72106768,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-5528.380697198212,-10108.69474864006,110062990.72106768,8040.58596520984,-3695.8175270557404,-7140.865176618099,123,1172,122.97859664595586,1172.3701056384443,0.6274220995211275,25,3005.1965670585632,11610.918383598328,114843471.2102853,7260.453233845533,1830.5758056640625,7025.89306640625,123,1173,122.97884983563512,1172.5049825669275,0.6384799272784999
target_transfer_snr_screen,target_transfer_snr_screen_007,M2,14.0,J0_Current,MISMATCH_B01_S000_R00,42,1309,True,False,True,nan,nan,nan,25,25,25,0.0,0.0,0.0,118292457.49900351,118292457.49900351,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,2425.5080572366714,-2594.2906963527203,118292457.49900351,7519.190330765841,-7165.113746643066,2280.212320804596,44,1309,43.44650633718414,1308.965412546084,0.885983887499308,25,-1350.6561584472656,1101.8506546020508,123105722.67211692,7553.456632637046,4008.44921875,6402.1123046875,43,1309,42.543789669848096,1308.9991316302078,0.8620693814756805
target_transfer_snr_screen,target_transfer_snr_screen_007,M2,14.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,42,1309,True,False,True,nan,nan,nan,25,25,25,0.006444034809566175,0.005883689493825816,-0.028623506178844627,118468109.40321892,118292457.49900351,0.00010785530935208953,-0.005244545388883637,"(0, 0)",0.0011597744511416819,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,2505.9081955999136,-2629.379571326077,118468109.40321892,7494.452352095763,-7141.347930908203,2273.3160333633423,44,1309,43.441261791795256,1308.9655204013934,0.8871436619504497,25,-1395.6573486328125,1042.3659286499023,123272615.58452922,7528.269404242341,4000.713623046875,6377.2353515625,43,1309,42.53929101829803,1308.999136498278,0.8632393843265106
target_transfer_snr_screen,target_transfer_snr_screen_007,M2,14.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,42,1309,True,False,True,nan,nan,nan,25,25,25,0.2872495911267996,0.2249280480714972,0.8986656699238902,126381065.7482396,118292457.49900351,0.006552296150175607,-0.26768515169146667,"(-1, 0)",-0.01335962136034563,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,6579.70671145618,-4503.49604293704,126381065.7482396,8338.815435261327,7625.54746055603,-3374.4434785842896,43,1309,43.17882118549267,1308.9719648422342,0.8726242661389624,25,-4156.054626464844,-2309.671585083008,129649559.86080681,8354.393965597965,-5436.77197265625,-6343.29638671875,42,1309,42.28386994363758,1308.9993241666166,0.853163545947484
target_transfer_snr_screen,target_transfer_snr_screen_008,M1+M2,14.0,J0_Current,MISMATCH_B01_S000_R00,63,1446,True,False,True,nan,nan,nan,25,25,25,0.0,0.0,0.0,18182147.58924519,18182147.58924519,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-530.4229443073273,-2308.967329978943,18182147.58924519,3816.8477556076923,-1340.13600730896,-3573.844186782837,64,1446,63.857913387295135,1446.0443230067117,0.6894962420230195,25,45.278289794921875,69.34743309020996,1179695.0624501132,739.1307349911344,-109.85400390625,-730.9215698242188,65,1446,64.42458304202292,1445.9316977174078,1.0244229263009592
target_transfer_snr_screen,target_transfer_snr_screen_008,M1+M2,14.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,63,1446,True,False,True,nan,nan,nan,25,25,25,0.0,0.0,0.0,18182147.58924519,18182147.58924519,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-530.4229443073273,-2308.967329978943,18182147.58924519,3816.8477556076923,-1340.13600730896,-3573.844186782837,64,1446,63.857913387295135,1446.0443230067117,0.6894962420230195,25,45.278289794921875,69.34743309020996,1179695.0624501132,739.1307349911344,-109.85400390625,-730.9215698242188,65,1446,64.42458304202292,1445.9316977174078,1.0244229263009592
target_transfer_snr_screen,target_transfer_snr_screen_008,M1+M2,14.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,63,1446,True,False,True,nan,nan,nan,25,25,25,0.0,0.0,0.0,18182147.58924519,18182147.58924519,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-530.4229443073273,-2308.967329978943,18182147.58924519,3816.8477556076923,-1340.13600730896,-3573.844186782837,64,1446,63.857913387295135,1446.0443230067117,0.6894962420230195,25,45.278289794921875,69.34743309020996,1179695.0624501132,739.1307349911344,-109.85400390625,-730.9215698242188,65,1446,64.42458304202292,1445.9316977174078,1.0244229263009592
target_transfer_snr_screen,target_transfer_snr_screen_009,M1+M3,14.0,J0_Current,MISMATCH_B01_S000_R00,54,1583,False,False,False,nan,nan,nan,25,25,25,0.0,0.0,0.0,2754091.469103576,2754091.469103576,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,200.73794692754745,361.4982578754425,2754091.469103576,869.0086725530998,697.0389823913574,518.9534950256348,54,1583,53.40516315385923,1583.2383492774343,1.1358860470448202,25,109.1999979019165,274.342116355896,40148.902710471964,121.99231853135697,-40.97699737548828,114.90435791015625,53,1583,53.559757625678905,1583.4093370628195,1.5172603818316974
target_transfer_snr_screen,target_transfer_snr_screen_009,M1+M3,14.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,54,1583,False,False,False,nan,nan,nan,25,25,25,0.0,0.0,0.0,2754091.469103576,2754091.469103576,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,200.73794692754745,361.4982578754425,2754091.469103576,869.0086725530998,697.0389823913574,518.9534950256348,54,1583,53.40516315385923,1583.2383492774343,1.1358860470448202,25,109.1999979019165,274.342116355896,40148.902710471964,121.99231853135697,-40.97699737548828,114.90435791015625,53,1583,53.559757625678905,1583.4093370628195,1.5172603818316974
target_transfer_snr_screen,target_transfer_snr_screen_009,M1+M3,14.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,54,1583,False,False,False,nan,nan,nan,25,25,25,0.0,0.0,0.0,2754091.469103576,2754091.469103576,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,200.73794692754745,361.4982578754425,2754091.469103576,869.0086725530998,697.0389823913574,518.9534950256348,54,1583,53.40516315385923,1583.2383492774343,1.1358860470448202,25,109.1999979019165,274.342116355896,40148.902710471964,121.99231853135697,-40.97699737548828,114.90435791015625,53,1583,53.559757625678905,1583.4093370628195,1.5172603818316974
target_transfer_snr_screen,target_transfer_snr_screen_010,M2+M3,14.0,J0_Current,MISMATCH_B01_S000_R00,48,470,False,False,False,nan,nan,nan,25,25,25,0.0,0.0,0.0,7346472.5980866635,7346472.5980866635,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-1020.6263647079468,1263.9503202438354,7346472.5980866635,2278.4694189175107,327.20050048828125,2254.8531494140625,49,470,48.740108527854844,470.0283598808549,0.8361373386937035,25,-179.71770477294922,-377.74976348876953,16537683.067522304,3229.9851602550757,77.21826171875,-3229.06201171875,49,470,48.61963455123113,469.9692043261827,0.8925472299120991
target_transfer_snr_screen,target_transfer_snr_screen_010,M2+M3,14.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,48,470,False,False,False,nan,nan,nan,25,25,25,-0.1764198956732575,0.02425776622341969,-0.2248629452019071,7054023.034147597,7346472.5980866635,-0.0007094485752645596,-0.022983448690936825,"(0, 0)",0.018168405557775547,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-1219.1880083084106,1207.1174018383026,7054023.034147597,2220.2406852056756,269.6154327392578,2203.8094787597656,49,470,48.71712507916391,470.02765043227964,0.8543057442514791,25,-179.97100067138672,-354.47941970825195,16630313.696430108,3231.8224834543635,77.6240234375,-3230.89013671875,49,470,48.61521464010256,469.96974335544013,0.8952521788197244
target_transfer_snr_screen,target_transfer_snr_screen_010,M2+M3,14.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,48,470,False,False,False,nan,nan,nan,25,25,25,-0.9122504497435459,4.024056010945732,-2.328916228882167,5954616.795731563,7346472.5980866635,-0.05953314890393813,-0.2757687911123128,"(0, 0)",0.12480217554451878,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-1342.638735294342,89.31659054756165,5954616.795731563,1742.5987273072153,135.744873046875,1737.3035583496094,49,470,48.46433973674253,469.96882673195097,0.9609395142382223,25,540.8028564453125,-1120.4119567871094,41771518.74851236,5001.825804770497,664.37353515625,-4957.50634765625,49,470,48.65937631483128,470.00254435451717,0.8627100512320671
target_transfer_snr_screen,target_transfer_snr_screen_011,M1+M2+M3,14.0,J0_Current,MISMATCH_B01_S000_R00,117,607,False,False,False,nan,nan,nan,25,25,25,0.0,0.0,0.0,87967814.21532805,87967814.21532805,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,10181.54350578785,2015.1602378962561,87967814.21532805,6763.918886514423,6472.505358219147,1963.994167804718,117,607,117.01417467408208,607.4611445452005,0.5966782653787741,25,1221.158363521099,11147.717909812927,94603633.54855004,7494.461617735915,576.1221923828125,7472.28466796875,117,608,117.01303254073261,607.6122787846522,0.5873842051778053
