target,validation_mode,status,holdout_group,n,n_folds,ridge_lambda,rmse,mae,r2,scope
diagnostic_best_scnr_gain_dB,leave_one_seed_out,,20261203,224,,,0.547227006918116,0.04642682010227844,,
diagnostic_best_scnr_gain_dB,leave_one_seed_out,,20261204,224,,,0.024323014636158616,0.01090234627203351,,
diagnostic_best_scnr_gain_dB,leave_one_seed_out,,20261205,224,,,0.07350675387219843,0.012233887714803455,,
diagnostic_best_scnr_gain_dB,leave_one_seed_out,,20261206,224,,,0.06911949986959406,0.018663467159452062,,
diagnostic_best_scnr_gain_dB,leave_one_seed_out,,20261207,224,,,0.30390733432096034,0.033919574532280575,,
diagnostic_best_scnr_gain_dB,leave_one_seed_out,,20261208,208,,,0.01160018894299765,0.009032467047266221,,
diagnostic_best_scnr_gain_dB,leave_one_seed_out,,20261209,224,,,0.02875192052588756,0.017628298773892444,,
diagnostic_best_scnr_gain_dB,leave_one_seed_out,,20261210,208,,,0.013334460520989064,0.011910102427687367,,
diagnostic_best_scnr_gain_dB,leave_one_seed_out,,20261211,208,,,0.03217342431281505,0.01167866120404079,,
diagnostic_best_scnr_gain_dB,leave_one_seed_out,,20261212,208,,,0.017166590361820482,0.01506244137819354,,
diagnostic_best_scnr_gain_dB,leave_one_seed_out,,20261213,208,,,0.013372520225928865,0.011536598720297078,,
diagnostic_best_scnr_gain_dB,leave_one_seed_out,,20261214,208,,,0.017221690525410057,0.01507332554843017,,
diagnostic_best_scnr_gain_dB,leave_one_seed_out,,20261215,224,,,0.14047626494345372,0.021901568904933614,,
diagnostic_best_scnr_gain_dB,leave_one_seed_out,,20261216,208,,,0.011057898464127263,0.006052658855477188,,
diagnostic_best_scnr_gain_dB,leave_one_factor_family_out,ok,aggregate,3472,10,1.0,0.7708567715589058,0.44723323559451067,-20.64199447299137,exploratory only; foldwise imputation/normalization; no production model
diagnostic_best_scnr_gain_dB,leave_one_factor_family_out,,channel_amp,224,,,0.547227006918116,0.04642682010227844,,
diagnostic_best_scnr_gain_dB,leave_one_factor_family_out,,channel_phase,224,,,0.024323014636158616,0.01090234627203351,,
diagnostic_best_scnr_gain_dB,leave_one_factor_family_out,,geometry,224,,,0.02875192052588756,0.017628298773892444,,
diagnostic_best_scnr_gain_dB,leave_one_factor_family_out,,mixed_lhs,1472,,,1.157438237704434,1.0256880262866548,,
diagnostic_best_scnr_gain_dB,leave_one_factor_family_out,,nominal,224,,,0.028592898921455376,0.01082163473953807,,
diagnostic_best_scnr_gain_dB,leave_one_factor_family_out,,phase_jitter,224,,,0.07350675387219843,0.012233887714803455,,
diagnostic_best_scnr_gain_dB,leave_one_factor_family_out,,target_snr,224,,,0.30390733432096034,0.033919574532280575,,
diagnostic_best_scnr_gain_dB,leave_one_factor_family_out,,target_velocity,208,,,0.01160018894299765,0.009032467047266221,,
diagnostic_best_scnr_gain_dB,leave_one_factor_family_out,,texture,224,,,0.05052126204546681,0.03289623027872819,,
diagnostic_best_scnr_gain_dB,leave_one_factor_family_out,,valid_fraction,224,,,0.06911949986959406,0.018663467159452062,,
