metric,metric_direction,comparison,delay_error_ns,block_count,effective_block_count,expected_block_count,missing_block_count,duplicate_block_delay_count,unavailable_block_count,missing_blocks,source_classification,effect,effect_mean,ci_low,ci_high,recoverable_space,actual_recovered,recovery_ratio,status,reason
period_detection_pd,higher_is_better,A1_to_A2,8,15,15,15,0,45,0,,Formal-v2 confirmatory,0.05333333333333333,0.05333333333333333,-0.01333333333333333,0.12000000000000001,0.05333333333333333,0.05333333333333333,1.0,passed,exact_duplicate_block_delay_rows_collapsed
period_detection_pd,higher_is_better,A1_to_A3,8,15,15,15,0,45,0,,Formal-v2 confirmatory,0.05333333333333333,0.05333333333333333,-0.01333333333333333,0.12000000000000001,0.05333333333333333,0.05333333333333333,1.0,passed,exact_duplicate_block_delay_rows_collapsed
position_rmse_m,lower_is_better,A1_to_A2,-8,15,15,15,0,45,0,,Formal-v2 confirmatory,311.2208160208911,311.2208160208911,271.89958325351085,349.13654093690275,311.2208160208911,161.9881706686993,0.5204927251968442,passed,exact_duplicate_block_delay_rows_collapsed
position_rmse_m,lower_is_better,A1_to_A3,-8,15,15,15,0,45,0,,Formal-v2 confirmatory,161.9881706686993,161.9881706686993,114.38342738123622,212.12184639211588,311.2208160208911,161.9881706686993,0.5204927251968442,passed,exact_duplicate_block_delay_rows_collapsed
position_rmse_m,lower_is_better,A1_to_A2,-4,15,15,15,0,45,0,,Formal-v2 confirmatory,-37.17718800917226,-37.17718800917226,-84.28892364296408,4.43101655383135,-37.17718800917226,46.5990851822935,-1.2534322168421315,passed,exact_duplicate_block_delay_rows_collapsed
position_rmse_m,lower_is_better,A1_to_A3,-4,15,15,15,0,45,0,,Formal-v2 confirmatory,46.5990851822935,46.5990851822935,28.748954725365365,64.61013138815655,-37.17718800917226,46.5990851822935,-1.2534322168421315,passed,exact_duplicate_block_delay_rows_collapsed
position_rmse_m,lower_is_better,A1_to_A2,-2,15,15,15,0,45,0,,Formal-v2 confirmatory,-76.08305997395246,-76.08305997395246,-117.33978902493371,-36.32393683236288,-76.08305997395246,8.12239542700761,-0.10675694996742201,passed,exact_duplicate_block_delay_rows_collapsed
position_rmse_m,lower_is_better,A1_to_A3,-2,15,15,15,0,45,0,,Formal-v2 confirmatory,8.12239542700761,8.12239542700761,-9.631648428458467,26.881443798670862,-76.08305997395246,8.12239542700761,-0.10675694996742201,passed,exact_duplicate_block_delay_rows_collapsed
position_rmse_m,lower_is_better,A1_to_A2,-1,15,15,15,0,45,0,,Formal-v2 confirmatory,-66.53962146663322,-66.53962146663322,-90.59992056976827,-44.22148464040009,-66.53962146663322,-21.17096086886345,0.3181707440202344,passed,exact_duplicate_block_delay_rows_collapsed
position_rmse_m,lower_is_better,A1_to_A3,-1,15,15,15,0,45,0,,Formal-v2 confirmatory,-21.17096086886345,-21.17096086886345,-55.16853377840106,5.470702076629483,-66.53962146663322,-21.17096086886345,0.3181707440202344,passed,exact_duplicate_block_delay_rows_collapsed
position_rmse_m,lower_is_better,A1_to_A2,1,15,15,15,0,45,0,,Formal-v2 confirmatory,28.032879916416093,28.032879916416093,17.217664026730652,39.28901349423413,28.032879916416093,35.54427192683043,1.2679493520755125,passed,exact_duplicate_block_delay_rows_collapsed
position_rmse_m,lower_is_better,A1_to_A3,1,15,15,15,0,45,0,,Formal-v2 confirmatory,35.54427192683043,35.54427192683043,24.15059396951025,47.51870209389226,28.032879916416093,35.54427192683043,1.2679493520755125,passed,exact_duplicate_block_delay_rows_collapsed
position_rmse_m,lower_is_better,A1_to_A2,2,15,15,15,0,45,0,,Formal-v2 confirmatory,28.0566462753866,28.0566462753866,5.481294090569628,49.303855725421684,28.0566462753866,67.79758269285472,2.4164535571142673,passed,exact_duplicate_block_delay_rows_collapsed
position_rmse_m,lower_is_better,A1_to_A3,2,15,15,15,0,45,0,,Formal-v2 confirmatory,67.79758269285472,67.79758269285472,43.05923294865536,89.96061072051752,28.0566462753866,67.79758269285472,2.4164535571142673,passed,exact_duplicate_block_delay_rows_collapsed
position_rmse_m,lower_is_better,A1_to_A2,4,15,15,15,0,45,0,,Formal-v2 confirmatory,102.60659130743558,102.60659130743558,73.86859290591018,130.890248243284,102.60659130743558,152.98580249541408,1.490993907370234,passed,exact_duplicate_block_delay_rows_collapsed
