level,delay_error_ns,snr_db,method,method_family,bias_ns,rmse_ns,std_ns,ci95_low_ns,ci95_high_ns,fallback_rate,mean_runtime_sec,trials
level1,1.0,30.0,D4_generalized_phase_slope_ML,spectral_D1_D2_D3,-0.0006440511710263219,0.020428238306361635,0.02052094565305303,-0.004666082611895094,0.0033779802698424496,0.0,0.000616144620871637,100
level1,1.0,30.0,cross_correlation,traditional_baseline,-0.6232111624514095,0.6232844205067707,0.009604073337429889,-0.6250935262360339,-0.6213287986667851,0.0,0.00048037732136435807,100
level1,1.0,30.0,gcc_phat,traditional_baseline,-0.8868746194934899,0.8906158096563155,0.0819579203933594,-0.9029380767153684,-0.8708111622716114,0.0,0.0006289898022077977,100
level1,1.0,30.0,oversampled_cross_correlation,traditional_baseline,-0.6881286488414703,0.6882065965817201,0.010409893420063094,-0.6901689504600927,-0.6860883472228478,0.0,0.0017578402993967757,100
level1,1.0,35.0,D1_ordinary_LS,spectral_D1_D2_D3,-0.0012690538650165894,0.017871460221683955,0.017916151303170542,-0.0047805549945950515,0.0022424472645618723,0.0,0.00013020799931837246,100
level1,1.0,35.0,D2_weighted_LS,spectral_D1_D2_D3,-0.0012619990201943843,0.017882654560644713,0.017927933528840426,-0.004775809423569916,0.0022518113831811477,0.0,0.0001159296915284358,100
level1,1.0,35.0,D3_Huber_weighted_LS,spectral_D1_D2_D3,-0.001173341483226874,0.018129733710666902,0.018182867787930608,-0.004737118083226621,0.0023904351167728733,0.0,0.0010620015996391885,100
level1,1.0,35.0,D4_generalized_phase_slope_ML,spectral_D1_D2_D3,-0.0021231464377323506,0.010569289166617816,0.01040600655466284,-0.004162686244735041,-8.36066307296603e-05,0.0,0.0006212464469717815,100
level1,1.0,35.0,cross_correlation,traditional_baseline,-0.6235344090494026,0.623556968486079,0.005330840228021804,-0.6245792345348286,-0.6224895835639767,0.0,0.00048166579887038097,100
level1,1.0,35.0,gcc_phat,traditional_baseline,-0.894384777668667,0.8973689075922413,0.07349036759435272,-0.9087886250382211,-0.8799809302991128,0.0,0.0006190451589645818,100
level1,1.0,35.0,oversampled_cross_correlation,traditional_baseline,-0.6879744773887304,0.6879921725898207,0.004959228369953314,-0.6889464682883522,-0.6870024864891087,0.0,0.0017253210578928701,100
level1,-1.0,20.0,D1_ordinary_LS,spectral_D1_D2_D3,0.001393115960590866,0.10130093227836774,0.10180163970612334,-0.01855963877852158,0.021345870699703316,0.0,0.00013022542931139468,100
level1,-1.0,20.0,D2_weighted_LS,spectral_D1_D2_D3,0.0014610284789648488,0.10090207165990059,0.10139976620738578,-0.018412960501760924,0.021335017459690624,0.0,0.0001162747194757685,100
level1,-1.0,20.0,D3_Huber_weighted_LS,spectral_D1_D2_D3,-0.003935100840135779,0.10435079064852461,0.1048018933938675,-0.024475894496494434,0.016605692816222872,0.0,0.0010664567904314025,100
level1,-1.0,20.0,D4_generalized_phase_slope_ML,spectral_D1_D2_D3,0.001189696101386185,0.06616004809150154,0.0664825988219272,-0.011840653827574049,0.014220046030346418,0.0,0.0006223674491047859,100
level1,-1.0,20.0,cross_correlation,traditional_baseline,0.6119759520014191,0.6126866100852649,0.029649745765687935,0.6061647086162674,0.6177871953865708,0.0,0.0004934039889485575,100
level1,-1.0,20.0,gcc_phat,traditional_baseline,0.9006068060532653,0.9046626146285391,0.08599875026741005,0.8837513607293075,0.917462251377223,0.0,0.0006221893493784592,100
level1,-1.0,20.0,oversampled_cross_correlation,traditional_baseline,0.6774032086180182,0.678041396479085,0.02955953235167795,0.6716096467371047,0.6831967704989317,0.0,0.0017210873210569844,100
level1,-1.0,30.0,D1_ordinary_LS,spectral_D1_D2_D3,-0.0023711566338236755,0.03216377452035882,0.03223784725396622,-0.008689658589511404,0.0039473453218640524,0.0,0.00013553130032960324,100
level1,-1.0,30.0,D2_weighted_LS,spectral_D1_D2_D3,-0.002427837377869343,0.03218071219249537,0.03225065723052554,-0.008748850042826977,0.0038931752870882902,0.0,0.0001177812204696238,100
level1,-1.0,30.0,D3_Huber_weighted_LS,spectral_D1_D2_D3,-0.0018194048015396402,0.032712459995047634,0.03282636912906609,-0.00825325492515834,0.00461444532207906,0.0,0.0010825879318872467,100
level1,-1.0,30.0,D4_generalized_phase_slope_ML,spectral_D1_D2_D3,-0.0004654817509201636,0.019669405792855307,0.019762960227483667,-0.004338950778296714,0.0034079872764563868,0.0,0.0006295805814443156,100
level1,-1.0,30.0,cross_correlation,traditional_baseline,0.6113380078053461,0.611406445726288,0.00919387632402139,0.6095360411580063,0.6131399744526859,0.0,0.0004944426185102202,100
level1,-1.0,30.0,gcc_phat,traditional_baseline,0.8874561241754908,0.8917084109793265,0.08741817458150868,0.8703224767980916,0.90458977155289,0.0,0.0006368699297308922,100
level1,-1.0,30.0,oversampled_cross_correlation,traditional_baseline,0.6762304868674168,0.6763041497272371,0.010031846730587124,0.6742642810383792,0.6781966926964544,0.0,0.0017986672700499185,100
level1,-1.0,35.0,D1_ordinary_LS,spectral_D1_D2_D3,-0.0022687157676393745,0.017438845056019836,0.017377747458193173,-0.005674691682688483,0.0011372601474097343,0.0,0.00013088337116641923,100
level1,-1.0,35.0,D2_weighted_LS,spectral_D1_D2_D3,-0.0022713673160427573,0.0174658436165221,0.017404764927288163,-0.005682638557729826,0.001139903925644312,0.0,0.00011468654061900451,100
level1,-1.0,35.0,D3_Huber_weighted_LS,spectral_D1_D2_D3,-0.0020842443422019164,0.01816148615372507,0.018132383688200172,-0.005638126240475306,0.001469637556071473,0.0,0.0010655265604145826,100
level1,-1.0,35.0,D4_generalized_phase_slope_ML,spectral_D1_D2_D3,0.0002593213124101812,0.011952450193166611,0.012009836796385561,-0.0020945634457017787,0.0026132060705221414,0.0,0.0006151857401710003,100
level1,-1.0,35.0,cross_correlation,traditional_baseline,0.6117748533296381,0.6117975762752065,0.005299434858074022,0.610736183183614,0.6128135234756622,0.0,0.0004926037299446762,100
level1,-1.0,35.0,gcc_phat,traditional_baseline,0.8961909746104929,0.8997111268019383,0.07991061115812532,0.8805287826252419,0.9118531665957439,0.0,0.0006254027725663036,100
level1,-1.0,35.0,oversampled_cross_correlation,traditional_baseline,0.6758231606321413,0.6758419090643452,0.005059404776065058,0.6748315355177116,0.6768147857465711,0.0,0.001729308272479102,100
level1,2.0,20.0,D1_ordinary_LS,spectral_D1_D2_D3,-0.02272151295362996,0.10085497560773611,0.09875722172255891,-0.042077572732575175,-0.0033654531746847467,0.0,0.0001326384287676774,100
level1,2.0,20.0,D2_weighted_LS,spectral_D1_D2_D3,-0.022453997521585115,0.10018486116903316,0.0981280569375677,-0.041686743268637964,-0.003221251774532266,0.0,0.0001168118097120896,100
level1,2.0,20.0,D3_Huber_weighted_LS,spectral_D1_D2_D3,-0.02082781303247585,0.10354244192788034,0.10193699522066998,-0.04080709696495033,-0.0008485291000013724,0.0,0.0010721802807529457,100
level1,2.0,20.0,D4_generalized_phase_slope_ML,spectral_D1_D2_D3,-0.008200057571342683,0.06675230752438441,0.06658047166950676,-0.02124959022593495,0.0048494750832495815,0.0,0.0006196227806503884,100
level1,2.0,20.0,cross_correlation,traditional_baseline,-1.2595564739732168,1.259985386858468,0.03303906425290188,-1.266032011575076,-1.2530809363713575,0.0,0.0004915679999976419,100
level1,2.0,20.0,gcc_phat,traditional_baseline,-1.7903858294293655,1.792047837331792,0.07755111096688475,-1.805585567874982,-1.7751860909837491,0.0,0.0006268533074762672,100
level1,2.0,20.0,oversampled_cross_correlation,traditional_baseline,-1.3863276284923518,1.3866735825263323,0.031129104819355043,-1.3924288209240425,-1.380226436060661,0.0,0.0017438365501584484,100
level1,2.0,30.0,D1_ordinary_LS,spectral_D1_D2_D3,8.002070399381056e-05,0.032959534835327146,0.03312548125433636,-0.0064124543189117865,0.006572495726899407,0.0,0.0001293167716357857,100
level1,2.0,30.0,D2_weighted_LS,spectral_D1_D2_D3,9.519959799113131e-05,0.03294376522360267,0.03310959158146334,-0.006394161106258741,0.006584560302241004,0.0,0.00011473129066871479,100
level1,2.0,30.0,D3_Huber_weighted_LS,spectral_D1_D2_D3,0.0003361206432038144,0.034667882964479875,0.03484089568703472,-0.00649256943036668,0.007164810716774309,0.0,0.0010553521013935098,100
