split,scene_id,actual_mechanism,multi_target,delay_tau_off_ns,delay_tau_on_ns,delay_target_bias_ns,phase_slope_off_deg_per_pulse,phase_slope_on_deg_per_pulse,phase_target_bias_deg_per_pulse
test,test_020,M1+M2+M3,True,6.304956272130758,6.304289684958295,-0.000666587172462485,-0.5608637119449291,-0.5608661607608993,-2.448815970224061e-06
test,test_021,M1,False,1.259176555705834,1.259163255969163,-1.3299736671079643e-05,0.0005149487197952683,0.0005185080442128935,3.5593244176252347e-06
test,test_022,M2,False,-0.0033484021910000343,-0.0033028899068291793,4.551228417085497e-05,-0.46274672825090013,-0.46274830618098606,-1.577930085927548e-06
test,test_023,M3,False,-0.08856969298318791,-0.09002421377988114,-0.001454520796693226,0.02704680391296332,0.0270329675559148,-1.3836357048522402e-05
test,test_024,M1+M2,True,7.9474812849082515,7.947420298010176,-6.0986898075654494e-05,-0.14917992797940788,-0.14918496278898152,-5.034809573645216e-06
test,test_025,M1+M3,False,3.4113443478119607,3.3998782887132735,-0.011466059098687253,0.0005817319491338423,0.000525463721810791,-5.6268227323051276e-05
test,test_026,M2+M3,False,-0.13801886425924018,-0.15621348887044945,-0.01819462461120927,-0.5614951590136464,-0.5615199911063438,-2.4832092697324448e-05
test,test_027,M1+M2+M3,False,4.287626719735355,4.3090490524546565,0.021422332719301274,-0.32694704009619374,-0.32694977104367706,-2.7309474833203673e-06
test,test_028,M1,True,3.5579094625229146,3.5580367861445334,0.0001273236216188245,-0.0018534341628841878,-0.0018482158977465844,5.218265137603472e-06
test,test_029,M2,False,0.27263759042355196,0.27337703262143975,0.0007394421978877963,-0.10351961464288231,-0.10350945621597557,1.015842690674229e-05
test,test_030,M3,False,-0.6211146582931041,-0.6225271150031196,-0.0014124567100155527,-0.028940156668674676,-0.028945863539868104,-5.706871193427582e-06
test,test_031,M1+M2,False,2.686942887428369,2.686977843278266,3.495584989687828e-05,-0.18110620606374694,-0.18110270620298152,3.499860765421303e-06
