split,scene_id,family,snr_db,method,off_calibration_role,on_calibration_role,same_correction_primary,off_estimated_delay_ns,on_estimated_delay_ns,on_minus_off_estimated_delay_ns,off_estimated_phase_slope_deg_per_pulse,on_estimated_phase_slope_deg_per_pulse,on_minus_off_estimated_phase_slope_deg_per_pulse,off_estimated_beta2_deg_per_pulse2,on_estimated_beta2_deg_per_pulse2,on_minus_off_estimated_beta2_deg_per_pulse2,off_raw_coherence,on_raw_coherence,on_minus_off_raw_coherence,off_joint_confidence,on_joint_confidence,on_minus_off_joint_confidence,off_joint_rmse_rad,on_joint_rmse_rad,on_minus_off_joint_rmse_rad,off_branch,on_branch,on_minus_off_branch,off_state,on_state,on_minus_off_state,off_delay_state,on_delay_state,on_minus_off_delay_state,off_phase_state,on_phase_state,on_minus_off_phase_state,deployment_check_definition
target_transfer,target_transfer_005,M1+M2+M3,10.0,J5_Selective_Physics_Calibration,target_off,target_on,True,7.003662728805136,6.994402332387114,-0.009260396418021344,-0.4764165815490607,-0.47647018182550804,-5.360027644735199e-05,nan,nan,nan,0.821130670582565,0.8212187697780585,8.809919549357392e-05,0.8169537134757572,0.8170941145366734,0.00014040106091617321,0.36347287408138773,0.3632560720202754,-0.00021680206111235334,D1P1,D1P1,same,CALIBRATABLE,CALIBRATABLE,same,ACTIVE,ACTIVE,same,ACTIVE,ACTIVE,same,ON-derived estimates are diagnostic only; primary metrics use OFF-derived frozen correction
target_transfer,target_transfer_005,M1+M2+M3,10.0,J6_Joint_Phase_Surface,target_off,target_on,True,6.3625432500404155,6.365414055558134,0.0028708055177188996,-0.48851619384183714,-0.4884056016608282,0.00011059218100895052,8.829231626579482e-05,8.72581025918821e-05,-1.0342136739127146e-06,0.821130670582565,0.8212187697780585,8.809919549357392e-05,0.8169537134757572,0.8170941145366734,0.00014040106091617321,0.36347287408138773,0.3632560720202754,-0.00021680206111235334,D1P1,D1P1,same,CALIBRATABLE,CALIBRATABLE,same,ACTIVE,ACTIVE,same,ACTIVE,ACTIVE,same,ON-derived estimates are diagnostic only; primary metrics use OFF-derived frozen correction
target_transfer,target_transfer_006,M1,12.0,J5_Selective_Physics_Calibration,target_off,target_on,True,8.086902595198323,8.112557547418328,0.025654952220005356,-0.005550727414098857,-0.005544039014368834,6.688399730022873e-06,nan,nan,nan,0.786377467084492,0.7868505420895437,0.0004730750050517818,0.798138693522093,0.18144007372356208,-0.6166986197985309,0.3902232992336377,1.3831256075623997,0.992902308328762,D0P0,D0P0,same,DECORRELATED,DECORRELATED,same,DECORRELATED,DECORRELATED,same,DECORRELATED,DECORRELATED,same,ON-derived estimates are diagnostic only; primary metrics use OFF-derived frozen correction
target_transfer,target_transfer_006,M1,12.0,J6_Joint_Phase_Surface,target_off,target_on,True,8.327120242621628,3.6298445590379482,-4.69727568358368,-0.05097000741467378,-15.503701575273206,-15.452731567858532,0.0003151121128029403,0.12369903004581642,0.12338391793301348,0.786377467084492,0.7868505420895437,0.0004730750050517818,0.798138693522093,0.18144007372356208,-0.6166986197985309,0.3902232992336377,1.3831256075623997,0.992902308328762,D0P0,D0P0,same,DECORRELATED,DECORRELATED,same,DECORRELATED,DECORRELATED,same,DECORRELATED,DECORRELATED,same,ON-derived estimates are diagnostic only; primary metrics use OFF-derived frozen correction
target_transfer,target_transfer_007,M2,12.0,J5_Selective_Physics_Calibration,target_off,target_on,True,-0.7147416023591473,-0.7163489037535281,-0.0016073013943808112,-0.7271059516986171,-0.7270544970841856,5.1454614431567514e-05,nan,nan,nan,0.852339820667423,0.8526739095188154,0.0003340888513924112,0.794870662483051,0.7952654892196565,0.00039482673660540257,0.3947295394103895,0.394118601762093,-0.0006109376482965057,D1P1,D1P1,same,CALIBRATABLE,CALIBRATABLE,same,ACTIVE,ACTIVE,same,ACTIVE,ACTIVE,same,ON-derived estimates are diagnostic only; primary metrics use OFF-derived frozen correction
target_transfer,target_transfer_007,M2,12.0,J6_Joint_Phase_Surface,target_off,target_on,True,-0.001593450333606502,-0.001681208559023376,-8.775822541687403e-05,-0.7198250214927177,-0.7198406328577256,-1.561136500793925e-05,-8.167401688123577e-05,-8.079238640790381e-05,8.816304733319557e-07,0.852339820667423,0.8526739095188154,0.0003340888513924112,0.794870662483051,0.7952654892196565,0.00039482673660540257,0.3947295394103895,0.394118601762093,-0.0006109376482965057,D1P1,D1P1,same,CALIBRATABLE,CALIBRATABLE,same,ACTIVE,ACTIVE,same,ACTIVE,ACTIVE,same,ON-derived estimates are diagnostic only; primary metrics use OFF-derived frozen correction
target_transfer,target_transfer_008,M1+M2,12.0,J5_Selective_Physics_Calibration,target_off,target_on,True,5.9329866068344055,5.92466598152827,-0.008320625306135199,-0.36007840408201114,-0.35999496835074,8.34357312711198e-05,nan,nan,nan,0.8378714679099424,0.8380935524766487,0.0002220845667063598,0.8204499910398967,0.8207106729752847,0.00026068193538797413,0.3584405833216761,0.35799636346704156,-0.00044421985463455327,D1P1,D1P1,same,CALIBRATABLE,CALIBRATABLE,same,ACTIVE,ACTIVE,same,ACTIVE,ACTIVE,same,ON-derived estimates are diagnostic only; primary metrics use OFF-derived frozen correction
target_transfer,target_transfer_008,M1+M2,12.0,J6_Joint_Phase_Surface,target_off,target_on,True,4.5057864561796315,4.50863435045211,0.002847894272478335,-0.4294644452812116,-0.42966865298059115,-0.00020420769937956607,0.0006156286882583914,0.0006172735492826651,1.6448610242737706e-06,0.8378714679099424,0.8380935524766487,0.0002220845667063598,0.8204499910398967,0.8207106729752847,0.00026068193538797413,0.3584405833216761,0.35799636346704156,-0.00044421985463455327,D1P1,D1P1,same,CALIBRATABLE,CALIBRATABLE,same,ACTIVE,ACTIVE,same,ACTIVE,ACTIVE,same,ON-derived estimates are diagnostic only; primary metrics use OFF-derived frozen correction
target_transfer,target_transfer_009,M1+M3,12.0,J5_Selective_Physics_Calibration,target_off,target_on,True,7.18224815354117,7.197022575266111,0.014774421724940368,0.011408717572985866,0.0112597781549546,-0.00014893941803126656,nan,nan,nan,0.8368819104959918,0.836984139273754,0.0001022287777622255,0.8350712179304289,0.8353143247508354,0.00024310682040651344,0.3346830366474731,0.3343178916612345,-0.00036514498623863023,D1P0,D1P0,same,CALIBRATABLE,CALIBRATABLE,same,ACTIVE,ACTIVE,same,INACTIVE,INACTIVE,same,ON-derived estimates are diagnostic only; primary metrics use OFF-derived frozen correction
target_transfer,target_transfer_009,M1+M3,12.0,J6_Joint_Phase_Surface,target_off,target_on,True,6.3932172995144,6.390161593224929,-0.0030557062894711606,-0.03615638641891786,-0.036091700633170146,6.468578574771178e-05,0.00035724762630785057,0.0003568459874284385,-4.0163887941207285e-07,0.8368819104959918,0.836984139273754,0.0001022287777622255,0.8350712179304289,0.8353143247508354,0.00024310682040651344,0.3346830366474731,0.3343178916612345,-0.00036514498623863023,D1P0,D1P0,same,CALIBRATABLE,CALIBRATABLE,same,ACTIVE,ACTIVE,same,INACTIVE,INACTIVE,same,ON-derived estimates are diagnostic only; primary metrics use OFF-derived frozen correction
