split,scene_id,role,method,status,pfa,hit_cells,false_clusters,selected,valid_cfar_test_cells,configured_pf,cfar_mode
target_transfer,target_transfer_011,target_off,J5_Selective_Physics_Calibration,measured,0.01068055041913215,5545,18,18,519168,1e-06,dynamic
target_transfer,target_transfer_011,target_on,J5_Selective_Physics_Calibration,measured,0.010690181213017751,5550,17,17,519168,1e-06,dynamic
target_transfer,target_transfer_011,target_off,J6_Joint_Phase_Surface,measured,0.01068055041913215,5545,18,18,519168,1e-06,dynamic
target_transfer,target_transfer_011,target_on,J6_Joint_Phase_Surface,measured,0.010690181213017751,5550,17,17,519168,1e-06,dynamic
target_transfer,target_transfer_012,target_off,J0_Current,measured,0.004443648298816568,2307,0,0,519168,1e-06,dynamic
target_transfer,target_transfer_012,target_on,J0_Current,measured,0.004476392998027614,2324,1,1,519168,1e-06,dynamic
target_transfer,target_transfer_012,target_off,J5_Selective_Physics_Calibration,measured,0.004382011217948718,2275,4,4,519168,1e-06,dynamic
target_transfer,target_transfer_012,target_on,J5_Selective_Physics_Calibration,measured,0.004414755917159763,2292,4,4,519168,1e-06,dynamic
target_transfer,target_transfer_012,target_off,J6_Joint_Phase_Surface,measured,0.004378158900394477,2273,4,4,519168,1e-06,dynamic
target_transfer,target_transfer_012,target_on,J6_Joint_Phase_Surface,measured,0.004403198964497042,2286,4,4,519168,1e-06,dynamic
target_transfer,target_transfer_013,target_off,J0_Current,measured,0.01062469181459566,5516,64,64,519168,1e-06,dynamic
target_transfer,target_transfer_013,target_on,J0_Current,measured,0.010647805719921105,5528,65,65,519168,1e-06,dynamic
target_transfer,target_transfer_013,target_off,J5_Selective_Physics_Calibration,measured,0.010636248767258383,5522,64,64,519168,1e-06,dynamic
target_transfer,target_transfer_013,target_on,J5_Selective_Physics_Calibration,measured,0.010649731878698224,5529,65,65,519168,1e-06,dynamic
target_transfer,target_transfer_013,target_off,J6_Joint_Phase_Surface,measured,0.010595799432938856,5501,67,67,519168,1e-06,dynamic
target_transfer,target_transfer_013,target_on,J6_Joint_Phase_Surface,measured,0.01061698717948718,5512,68,68,519168,1e-06,dynamic
target_transfer,target_transfer_014,target_off,J0_Current,measured,0.007288584812623274,3784,18,18,519168,1e-06,dynamic
target_transfer,target_transfer_014,target_on,J0_Current,measured,0.007286658653846154,3783,18,18,519168,1e-06,dynamic
target_transfer,target_transfer_014,target_off,J5_Selective_Physics_Calibration,measured,0.007288584812623274,3784,18,18,519168,1e-06,dynamic
target_transfer,target_transfer_014,target_on,J5_Selective_Physics_Calibration,measured,0.007286658653846154,3783,18,18,519168,1e-06,dynamic
target_transfer,target_transfer_014,target_off,J6_Joint_Phase_Surface,measured,0.007288584812623274,3784,18,18,519168,1e-06,dynamic
target_transfer,target_transfer_014,target_on,J6_Joint_Phase_Surface,measured,0.007286658653846154,3783,18,18,519168,1e-06,dynamic
target_transfer,target_transfer_015,target_off,J0_Current,measured,0.007554394723865878,3922,12,12,519168,1e-06,dynamic
target_transfer,target_transfer_015,target_on,J0_Current,measured,0.007556320882642998,3923,12,12,519168,1e-06,dynamic
target_transfer,target_transfer_015,target_off,J5_Selective_Physics_Calibration,measured,0.007554394723865878,3922,12,12,519168,1e-06,dynamic
target_transfer,target_transfer_015,target_on,J5_Selective_Physics_Calibration,measured,0.007556320882642998,3923,12,12,519168,1e-06,dynamic
target_transfer,target_transfer_015,target_off,J6_Joint_Phase_Surface,measured,0.007554394723865878,3922,12,12,519168,1e-06,dynamic
target_transfer,target_transfer_015,target_on,J6_Joint_Phase_Surface,measured,0.007556320882642998,3923,12,12,519168,1e-06,dynamic
target_transfer,target_transfer_016,target_off,J0_Current,measured,0.011969150641025642,6214,24,24,519168,1e-06,dynamic
target_transfer,target_transfer_016,target_on,J0_Current,measured,0.011949889053254437,6204,24,24,519168,1e-06,dynamic
target_transfer,target_transfer_016,target_off,J5_Selective_Physics_Calibration,measured,0.01196144600591716,6210,24,24,519168,1e-06,dynamic
target_transfer,target_transfer_016,target_on,J5_Selective_Physics_Calibration,measured,0.011949889053254437,6204,24,24,519168,1e-06,dynamic
target_transfer,target_transfer_016,target_off,J6_Joint_Phase_Surface,measured,0.012003821499013807,6232,28,28,519168,1e-06,dynamic
target_transfer,target_transfer_016,target_on,J6_Joint_Phase_Surface,measured,0.011988412228796845,6224,28,28,519168,1e-06,dynamic
target_transfer,target_transfer_017,target_off,J0_Current,measured,0.005291158160749507,2747,3,3,519168,1e-06,dynamic
target_transfer,target_transfer_017,target_on,J0_Current,measured,0.005449103180473373,2829,4,4,519168,1e-06,dynamic
target_transfer,target_transfer_017,target_off,J5_Selective_Physics_Calibration,measured,0.005291158160749507,2747,3,3,519168,1e-06,dynamic
target_transfer,target_transfer_017,target_on,J5_Selective_Physics_Calibration,measured,0.005449103180473373,2829,4,4,519168,1e-06,dynamic
target_transfer,target_transfer_017,target_off,J6_Joint_Phase_Surface,measured,0.005291158160749507,2747,3,3,519168,1e-06,dynamic
target_transfer,target_transfer_017,target_on,J6_Joint_Phase_Surface,measured,0.005449103180473373,2829,4,4,519168,1e-06,dynamic
target_transfer,target_transfer_018,target_off,J0_Current,measured,0.0106285441321499,5518,60,60,519168,1e-06,dynamic
target_transfer,target_transfer_018,target_on,J0_Current,measured,0.010647805719921105,5528,60,60,519168,1e-06,dynamic
