scene_id,working_point,seed,delay_error_ns,target_velocity_mps,target_snr_db,condition,role,metric,value,status,denominator,definition
high_velocity__seed_101__v_p12__snr_p30__delay_p1ns,high_velocity,101,1.0,12.0,30.0,A1_Current_unknown_error,ON,unique_false_track_count,315.0,passed,,unique_false_track_count; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_p1ns,high_velocity,101,1.0,12.0,30.0,A1_Current_unknown_error,ON,track_id_switch_count,3.0,passed,,track_id_switch_count; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_p1ns,high_velocity,101,1.0,12.0,30.0,A2_Known_error_correction_upper_bound,ON,track_pd_all_visible,0.8,passed,5,track_pd_all_visible; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_p1ns,high_velocity,101,1.0,12.0,30.0,A2_Known_error_correction_upper_bound,ON,track_pd_after_confirmation,1.0,passed,5,track_pd_after_confirmation; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_p1ns,high_velocity,101,1.0,12.0,30.0,A2_Known_error_correction_upper_bound,ON,track_continuity,0.8,passed,,track_continuity; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_p1ns,high_velocity,101,1.0,12.0,30.0,A2_Known_error_correction_upper_bound,ON,track_continuity_after_confirmation,1.0,passed,,track_continuity_after_confirmation; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_p1ns,high_velocity,101,1.0,12.0,30.0,A2_Known_error_correction_upper_bound,ON,position_rmse_m,76.82651693701442,passed,,position_rmse_m; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_p1ns,high_velocity,101,1.0,12.0,30.0,A2_Known_error_correction_upper_bound,ON,velocity_rmse_mps_ground_speed,6.4261548597887375,passed,,velocity_rmse_mps_ground_speed; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_p1ns,high_velocity,101,1.0,12.0,30.0,A2_Known_error_correction_upper_bound,ON,angle_rmse_deg,0.03462750538241025,passed,,angle_rmse_deg; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_p1ns,high_velocity,101,1.0,12.0,30.0,A2_Known_error_correction_upper_bound,ON,false_track_count,287.0,passed,,false_track_count; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_p1ns,high_velocity,101,1.0,12.0,30.0,A2_Known_error_correction_upper_bound,ON,unique_false_track_count,287.0,passed,,unique_false_track_count; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_p1ns,high_velocity,101,1.0,12.0,30.0,A2_Known_error_correction_upper_bound,ON,track_id_switch_count,2.0,passed,,track_id_switch_count; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_p1ns,high_velocity,101,1.0,12.0,30.0,A3_Blind_target_free_estimated_correction,ON,track_pd_all_visible,0.8,passed,5,track_pd_all_visible; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_p1ns,high_velocity,101,1.0,12.0,30.0,A3_Blind_target_free_estimated_correction,ON,track_pd_after_confirmation,1.0,passed,5,track_pd_after_confirmation; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_p1ns,high_velocity,101,1.0,12.0,30.0,A3_Blind_target_free_estimated_correction,ON,track_continuity,0.8,passed,,track_continuity; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_p1ns,high_velocity,101,1.0,12.0,30.0,A3_Blind_target_free_estimated_correction,ON,track_continuity_after_confirmation,1.0,passed,,track_continuity_after_confirmation; higher values are better
