case_id,error_deg,seed,texture,range_center_m,branch,calibration_mode,method,estimate_deg,uncertainty_deg,fit_rmse,phase_rmse,ridge_rmse,clutter_cancellation_db,model_mismatch,fallback_reason,status,causal_data_sources,input_role,target_truth_used,on_off_difference_used,known_error_used,servo_truth_used,source_ids
clutter_servo_high_texture_7500m_p0p050deg_seed_101,0.05,101,high_texture,7500.0,S1,clutter_only,clutter_only_six_pair_phase_ridge_p38_power_huber_grid_v1,,,,,,,True,primary_feature_family_disagreement,FALLBACK_MODEL_MISMATCH,"['six_pair_clutter_phase', 'doppler_ridge_displacement', 'p38_phase_slope', 'multi_beam_power_secondary', 'reported_angle_geometry_platform']",OFF_C_PLUS_N_TARGET_FREE_ONLY,False,False,False,False,['off_c_plus_n:clutter_servo_high_texture_7500m_p0p050deg_seed_101']
clutter_servo_high_texture_7500m_p0p050deg_seed_101,0.05,101,high_texture,7500.0,Sassist,target_assisted,target_assisted_six_pair_phase_plus_multibeam_power_quadratic_pilot,-0.0761241996776321,0.02640925933170555,,2.2411966693872136,,,,,VALID,"['paired ON-OFF target residual', 'six pair cross-channel phases/coherences', 'reported header beam angles', 'configured nominal target/range hypothesis']",PAIRED_ON_MINUS_OFF_TARGET_RESIDUAL,False,True,False,False,"['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/clutter_only_servo_formal_compact_v2_20260914/cases/case_011/on/data/stage2_statistical_newprotocol_period_0000.bin', '/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/clutter_only_servo_formal_compact_v2_20260914/cases/case_011/off/data/stage2_statistical_newprotocol_period_0000.bin']"
clutter_servo_high_texture_10000m_p0p050deg_seed_101,0.05,101,high_texture,10000.0,S1,clutter_only,clutter_only_six_pair_phase_ridge_p38_power_huber_grid_v1,,,,,,,True,primary_feature_family_disagreement,FALLBACK_MODEL_MISMATCH,"['six_pair_clutter_phase', 'doppler_ridge_displacement', 'p38_phase_slope', 'multi_beam_power_secondary', 'reported_angle_geometry_platform']",OFF_C_PLUS_N_TARGET_FREE_ONLY,False,False,False,False,['off_c_plus_n:clutter_servo_high_texture_10000m_p0p050deg_seed_101']
clutter_servo_high_texture_10000m_p0p050deg_seed_101,0.05,101,high_texture,10000.0,Sassist,target_assisted,target_assisted_six_pair_phase_plus_multibeam_power_quadratic_pilot,0.09932367814301118,0.028628740105348292,,1.2812371782529932,,,,,VALID,"['paired ON-OFF target residual', 'six pair cross-channel phases/coherences', 'reported header beam angles', 'configured nominal target/range hypothesis']",PAIRED_ON_MINUS_OFF_TARGET_RESIDUAL,False,True,False,False,"['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/clutter_only_servo_formal_compact_v2_20260914/cases/case_012/on/data/stage2_statistical_newprotocol_period_0000.bin', '/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/clutter_only_servo_formal_compact_v2_20260914/cases/case_012/off/data/stage2_statistical_newprotocol_period_0000.bin']"
clutter_servo_low_texture_7500m_p0p050deg_seed_202,0.05,202,low_texture,7500.0,S1,clutter_only,clutter_only_six_pair_phase_ridge_p38_power_huber_grid_v1,,,,,,,True,primary_feature_family_disagreement,FALLBACK_MODEL_MISMATCH,"['six_pair_clutter_phase', 'doppler_ridge_displacement', 'p38_phase_slope', 'multi_beam_power_secondary', 'reported_angle_geometry_platform']",OFF_C_PLUS_N_TARGET_FREE_ONLY,False,False,False,False,['off_c_plus_n:clutter_servo_low_texture_7500m_p0p050deg_seed_202']
clutter_servo_low_texture_7500m_p0p050deg_seed_202,0.05,202,low_texture,7500.0,Sassist,target_assisted,target_assisted_six_pair_phase_plus_multibeam_power_quadratic_pilot,0.027392621699583453,0.022666355937264564,,2.2411976248238856,,,,,VALID,"['paired ON-OFF target residual', 'six pair cross-channel phases/coherences', 'reported header beam angles', 'configured nominal target/range hypothesis']",PAIRED_ON_MINUS_OFF_TARGET_RESIDUAL,False,True,False,False,"['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/clutter_only_servo_formal_compact_v2_20260914/cases/case_013/on/data/stage2_statistical_newprotocol_period_0000.bin', '/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/clutter_only_servo_formal_compact_v2_20260914/cases/case_013/off/data/stage2_statistical_newprotocol_period_0000.bin']"
clutter_servo_low_texture_10000m_p0p050deg_seed_202,0.05,202,low_texture,10000.0,S1,clutter_only,clutter_only_six_pair_phase_ridge_p38_power_huber_grid_v1,,,,,,,True,primary_feature_family_disagreement,FALLBACK_MODEL_MISMATCH,"['six_pair_clutter_phase', 'doppler_ridge_displacement', 'p38_phase_slope', 'multi_beam_power_secondary', 'reported_angle_geometry_platform']",OFF_C_PLUS_N_TARGET_FREE_ONLY,False,False,False,False,['off_c_plus_n:clutter_servo_low_texture_10000m_p0p050deg_seed_202']
clutter_servo_low_texture_10000m_p0p050deg_seed_202,0.05,202,low_texture,10000.0,Sassist,target_assisted,target_assisted_six_pair_phase_plus_multibeam_power_quadratic_pilot,0.04599922108172245,0.020646040955512923,,1.2812359857333608,,,,,VALID,"['paired ON-OFF target residual', 'six pair cross-channel phases/coherences', 'reported header beam angles', 'configured nominal target/range hypothesis']",PAIRED_ON_MINUS_OFF_TARGET_RESIDUAL,False,True,False,False,"['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/clutter_only_servo_formal_compact_v2_20260914/cases/case_014/on/data/stage2_statistical_newprotocol_period_0000.bin', '/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/clutter_only_servo_formal_compact_v2_20260914/cases/case_014/off/data/stage2_statistical_newprotocol_period_0000.bin']"
clutter_servo_high_texture_7500m_p0p050deg_seed_202,0.05,202,high_texture,7500.0,S1,clutter_only,clutter_only_six_pair_phase_ridge_p38_power_huber_grid_v1,,,,,,,True,objective_non_unique_or_grid_boundary,FALLBACK_MODEL_MISMATCH,"['six_pair_clutter_phase', 'doppler_ridge_displacement', 'p38_phase_slope', 'multi_beam_power_secondary', 'reported_angle_geometry_platform']",OFF_C_PLUS_N_TARGET_FREE_ONLY,False,False,False,False,['off_c_plus_n:clutter_servo_high_texture_7500m_p0p050deg_seed_202']
clutter_servo_high_texture_7500m_p0p050deg_seed_202,0.05,202,high_texture,7500.0,Sassist,target_assisted,target_assisted_six_pair_phase_plus_multibeam_power_quadratic_pilot,0.05962860967035773,0.011775773625797712,,2.2411632115606097,,,,,VALID,"['paired ON-OFF target residual', 'six pair cross-channel phases/coherences', 'reported header beam angles', 'configured nominal target/range hypothesis']",PAIRED_ON_MINUS_OFF_TARGET_RESIDUAL,False,True,False,False,"['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/clutter_only_servo_formal_compact_v2_20260914/cases/case_015/on/data/stage2_statistical_newprotocol_period_0000.bin', '/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/clutter_only_servo_formal_compact_v2_20260914/cases/case_015/off/data/stage2_statistical_newprotocol_period_0000.bin']"
