branch,period_id,track_id,matched_det_index,resolved_source,eligible,matched_truth,position_error_m,range_error_m,seed
Current,1,18,1,measurement,1,0,1876.7641704800224,1868.2776990333077,202
Current,1,23,19,measurement,1,0,1120.5097324582932,1044.705684533299,202
Current,1,24,5,measurement,1,0,2951.2288785052683,2937.537465900008,202
Current,1,25,17,measurement,1,0,3597.591691083719,3517.993463033301,202
Current,1,29,18,measurement,1,0,989.7480720138868,949.771406166692,202
Current,1,30,27,measurement,1,0,770.3879548545367,704.0836538000003,202
Current,1,32,28,measurement,1,1,22.327077647906716,2.9268929833051516,202
Current,2,1,0,measurement,1,1,45.35966403049764,0.7286246167059289,202
Current,2,3,1,measurement,1,0,2956.053420433142,2844.8014559000003,202
Current,2,4,34,measurement,1,1,71.33521986571412,1.7696458666905528,202
Current,2,9,23,measurement,1,0,2491.752315084682,2477.5556948500016,202
Current,2,12,5,measurement,1,0,2292.360886847467,2281.64957590001,202
Current,2,15,15,measurement,1,0,1105.485840680344,1078.5242241832893,202
Current,2,21,14,measurement,1,0,2405.3843464233573,2322.6629248832905,202
Current,2,27,6,measurement,1,0,4885.552691672366,4875.895358850001,202
Current,2,28,13,measurement,1,0,1236.3437612389025,1207.3932680667058,202
Current,2,30,2,measurement,1,0,555.5158878683982,550.3481309500057,202
Current,2,33,33,measurement,1,1,22.093749623795294,1.7696458666905528,202
Current,2,36,19,measurement,1,0,5006.128161346046,4968.331366733299,202
Current,2,38,24,measurement,1,0,3585.5411524903407,3566.8016255832918,202
Current,2,39,28,measurement,1,0,4244.472443412007,4236.338115116698,202
Current,2,40,21,measurement,1,0,4219.786795979955,4195.324766133301,202
Current,2,47,16,measurement,1,0,456.16214040760434,442.9225001667073,202
blind_calibrated,1,1,0,measurement,1,1,3.3387437105031883,0.42862249999598134,202
blind_calibrated,1,2,13,measurement,1,0,1492.2781449830973,1469.4116666999907,202
blind_calibrated,1,7,6,measurement,1,0,2885.7951216149445,2865.0876218833,202
