method,dimension,level,count,mean,median,p05,p10,p90,min,cvar5,fraction_lt_neg_0_1,fraction_lt_neg_0_5,fraction_lt_neg_1_0
J5_Selective_Physics_Calibration,snr,2.00781,1,0.01523329235892934,0.01523329235892934,0.01523329235892934,0.01523329235892934,0.01523329235892934,0.01523329235892934,0.01523329235892934,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,2.21094,1,0.010781491954899636,0.010781491954899636,0.010781491954899636,0.010781491954899636,0.010781491954899636,0.010781491954899636,0.010781491954899636,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,2.41406,1,0.8359230691915993,0.8359230691915993,0.8359230691915993,0.8359230691915993,0.8359230691915993,0.8359230691915993,0.8359230691915993,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,2.61719,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,3.02344,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,3.42969,1,0.07637972312858032,0.07637972312858032,0.07637972312858032,0.07637972312858032,0.07637972312858032,0.07637972312858032,0.07637972312858032,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,3.63281,1,0.006019813256769702,0.006019813256769702,0.006019813256769702,0.006019813256769702,0.006019813256769702,0.006019813256769702,0.006019813256769702,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,3.83594,1,0.07993795045260921,0.07993795045260921,0.07993795045260921,0.07993795045260921,0.07993795045260921,0.07993795045260921,0.07993795045260921,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,4.44531,1,-0.001440376627670048,-0.001440376627670048,-0.001440376627670048,-0.001440376627670048,-0.001440376627670048,-0.001440376627670048,-0.001440376627670048,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,4.64844,1,0.26743680572108985,0.26743680572108985,0.26743680572108985,0.26743680572108985,0.26743680572108985,0.26743680572108985,0.26743680572108985,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,5.25781,1,-0.022922714326520044,-0.022922714326520044,-0.022922714326520044,-0.022922714326520044,-0.022922714326520044,-0.022922714326520044,-0.022922714326520044,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,5.46094,1,0.017160911187239947,0.017160911187239947,0.017160911187239947,0.017160911187239947,0.017160911187239947,0.017160911187239947,0.017160911187239947,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,6.07031,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,6.27344,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,6.47656,1,0.06991712826156071,0.06991712826156071,0.06991712826156071,0.06991712826156071,0.06991712826156071,0.06991712826156071,0.06991712826156071,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,6.67969,1,-0.07185563339680989,-0.07185563339680989,-0.07185563339680989,-0.07185563339680989,-0.07185563339680989,-0.07185563339680989,-0.07185563339680989,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,6.88281,1,0.10024326961028063,0.10024326961028063,0.10024326961028063,0.10024326961028063,0.10024326961028063,0.10024326961028063,0.10024326961028063,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,7.08594,1,0.0055978243533703065,0.0055978243533703065,0.0055978243533703065,0.0055978243533703065,0.0055978243533703065,0.0055978243533703065,0.0055978243533703065,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,7.28906,1,0.00960212441717001,0.00960212441717001,0.00960212441717001,0.00960212441717001,0.00960212441717001,0.00960212441717001,0.00960212441717001,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,7.49219,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,7.69531,1,-0.024773254128519717,-0.024773254128519717,-0.024773254128519717,-0.024773254128519717,-0.024773254128519717,-0.024773254128519717,-0.024773254128519717,0.0,0.0,0.0
