case_id,factor,factor_level,seed,method,comparison_protocol,threshold_scale,target_detected,background_Pfa
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,MNEC physical,scientific_controlled,3.0,0.0,0.0008174025185859505
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,MNEC physical,scientific_controlled,5.0,0.0,0.0002256865422545896
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,SA-MNEC physical [approximate academic reference],scientific_controlled,0.5,1.0,0.011155363374298285
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,SA-MNEC physical [approximate academic reference],scientific_controlled,0.75,1.0,0.006241465634956759
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,SA-MNEC physical [approximate academic reference],scientific_controlled,1.0,1.0,0.0044473524503110306
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,SA-MNEC physical [approximate academic reference],scientific_controlled,1.5,1.0,0.0026608253679259596
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,SA-MNEC physical [approximate academic reference],scientific_controlled,2.0,1.0,0.0017580791989076012
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,SA-MNEC physical [approximate academic reference],scientific_controlled,3.0,0.0,0.0008136094674556213
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,SA-MNEC physical [approximate academic reference],scientific_controlled,5.0,0.0,0.0002256865422545896
baseline_v2_transitionpilottargetsnrdbm18p0_s20261122,target_snr_db,-18.0,20261122,Current legacy CSI [production replay],production_replay,0.5,1.0,0.015570474890001518
baseline_v2_transitionpilottargetsnrdbm18p0_s20261122,target_snr_db,-18.0,20261122,Current legacy CSI [production replay],production_replay,0.75,1.0,0.005463890153239266
baseline_v2_transitionpilottargetsnrdbm18p0_s20261122,target_snr_db,-18.0,20261122,Current legacy CSI [production replay],production_replay,1.0,1.0,0.0021146260051585495
baseline_v2_transitionpilottargetsnrdbm18p0_s20261122,target_snr_db,-18.0,20261122,Current legacy CSI [production replay],production_replay,1.5,0.0,0.00041723562433621604
baseline_v2_transitionpilottargetsnrdbm18p0_s20261122,target_snr_db,-18.0,20261122,Current legacy CSI [production replay],production_replay,2.0,0.0,3.0344409042633894e-05
baseline_v2_transitionpilottargetsnrdbm18p0_s20261122,target_snr_db,-18.0,20261122,Current legacy CSI [production replay],production_replay,3.0,0.0,0.0
baseline_v2_transitionpilottargetsnrdbm18p0_s20261122,target_snr_db,-18.0,20261122,Current legacy CSI [production replay],production_replay,5.0,0.0,0.0
baseline_v2_transitionpilottargetsnrdbm18p0_s20261122,target_snr_db,-18.0,20261122,Phase-only CSI [production replay],production_replay,0.5,1.0,0.00974434835381581
baseline_v2_transitionpilottargetsnrdbm18p0_s20261122,target_snr_db,-18.0,20261122,Phase-only CSI [production replay],production_replay,0.75,1.0,0.002245486269154908
baseline_v2_transitionpilottargetsnrdbm18p0_s20261122,target_snr_db,-18.0,20261122,Phase-only CSI [production replay],production_replay,1.0,0.0,0.0003489607039902898
baseline_v2_transitionpilottargetsnrdbm18p0_s20261122,target_snr_db,-18.0,20261122,Phase-only CSI [production replay],production_replay,1.5,0.0,1.8965255651646184e-06
baseline_v2_transitionpilottargetsnrdbm18p0_s20261122,target_snr_db,-18.0,20261122,Phase-only CSI [production replay],production_replay,2.0,0.0,0.0
baseline_v2_transitionpilottargetsnrdbm18p0_s20261122,target_snr_db,-18.0,20261122,Phase-only CSI [production replay],production_replay,3.0,0.0,0.0
baseline_v2_transitionpilottargetsnrdbm18p0_s20261122,target_snr_db,-18.0,20261122,Phase-only CSI [production replay],production_replay,5.0,0.0,0.0
baseline_v2_transitionpilottargetsnrdbm18p0_s20261122,target_snr_db,-18.0,20261122,Current legacy CSI [scientific controlled],scientific_controlled,0.5,1.0,0.015570474890001518
baseline_v2_transitionpilottargetsnrdbm18p0_s20261122,target_snr_db,-18.0,20261122,Current legacy CSI [scientific controlled],scientific_controlled,0.75,1.0,0.005463890153239266
baseline_v2_transitionpilottargetsnrdbm18p0_s20261122,target_snr_db,-18.0,20261122,Current legacy CSI [scientific controlled],scientific_controlled,1.0,1.0,0.0021146260051585495
baseline_v2_transitionpilottargetsnrdbm18p0_s20261122,target_snr_db,-18.0,20261122,Current legacy CSI [scientific controlled],scientific_controlled,1.5,0.0,0.00041723562433621604
baseline_v2_transitionpilottargetsnrdbm18p0_s20261122,target_snr_db,-18.0,20261122,Current legacy CSI [scientific controlled],scientific_controlled,2.0,0.0,3.0344409042633894e-05
baseline_v2_transitionpilottargetsnrdbm18p0_s20261122,target_snr_db,-18.0,20261122,Current legacy CSI [scientific controlled],scientific_controlled,3.0,0.0,0.0
baseline_v2_transitionpilottargetsnrdbm18p0_s20261122,target_snr_db,-18.0,20261122,Current legacy CSI [scientific controlled],scientific_controlled,5.0,0.0,0.0
baseline_v2_transitionpilottargetsnrdbm18p0_s20261122,target_snr_db,-18.0,20261122,Phase-only CSI [scientific controlled],scientific_controlled,0.5,1.0,0.00974434835381581
baseline_v2_transitionpilottargetsnrdbm18p0_s20261122,target_snr_db,-18.0,20261122,Phase-only CSI [scientific controlled],scientific_controlled,0.75,1.0,0.002245486269154908
baseline_v2_transitionpilottargetsnrdbm18p0_s20261122,target_snr_db,-18.0,20261122,Phase-only CSI [scientific controlled],scientific_controlled,1.0,0.0,0.0003489607039902898
baseline_v2_transitionpilottargetsnrdbm18p0_s20261122,target_snr_db,-18.0,20261122,Phase-only CSI [scientific controlled],scientific_controlled,1.5,0.0,1.8965255651646184e-06
baseline_v2_transitionpilottargetsnrdbm18p0_s20261122,target_snr_db,-18.0,20261122,Phase-only CSI [scientific controlled],scientific_controlled,2.0,0.0,0.0
baseline_v2_transitionpilottargetsnrdbm18p0_s20261122,target_snr_db,-18.0,20261122,Phase-only CSI [scientific controlled],scientific_controlled,3.0,0.0,0.0
baseline_v2_transitionpilottargetsnrdbm18p0_s20261122,target_snr_db,-18.0,20261122,Phase-only CSI [scientific controlled],scientific_controlled,5.0,0.0,0.0
baseline_v2_transitionpilottargetsnrdbm18p0_s20261122,target_snr_db,-18.0,20261122,Row complex LS / Wiener [scientific controlled],scientific_controlled,0.5,1.0,0.009706417842512517
baseline_v2_transitionpilottargetsnrdbm18p0_s20261122,target_snr_db,-18.0,20261122,Row complex LS / Wiener [scientific controlled],scientific_controlled,0.75,1.0,0.0022739341526323777
baseline_v2_transitionpilottargetsnrdbm18p0_s20261122,target_snr_db,-18.0,20261122,Row complex LS / Wiener [scientific controlled],scientific_controlled,1.0,0.0,0.00045895918676983765
baseline_v2_transitionpilottargetsnrdbm18p0_s20261122,target_snr_db,-18.0,20261122,Row complex LS / Wiener [scientific controlled],scientific_controlled,1.5,0.0,1.8965255651646184e-06
baseline_v2_transitionpilottargetsnrdbm18p0_s20261122,target_snr_db,-18.0,20261122,Row complex LS / Wiener [scientific controlled],scientific_controlled,2.0,0.0,0.0
baseline_v2_transitionpilottargetsnrdbm18p0_s20261122,target_snr_db,-18.0,20261122,Row complex LS / Wiener [scientific controlled],scientific_controlled,3.0,0.0,0.0
baseline_v2_transitionpilottargetsnrdbm18p0_s20261122,target_snr_db,-18.0,20261122,Row complex LS / Wiener [scientific controlled],scientific_controlled,5.0,0.0,0.0
baseline_v2_transitionpilottargetsnrdbm18p0_s20261122,target_snr_db,-18.0,20261122,Row complex LS / Wiener robust IRLS [scientific controlled],scientific_controlled,0.5,1.0,0.009782278865119102
baseline_v2_transitionpilottargetsnrdbm18p0_s20261122,target_snr_db,-18.0,20261122,Row complex LS / Wiener robust IRLS [scientific controlled],scientific_controlled,0.75,1.0,0.00228720983158853
baseline_v2_transitionpilottargetsnrdbm18p0_s20261122,target_snr_db,-18.0,20261122,Row complex LS / Wiener robust IRLS [scientific controlled],scientific_controlled,1.0,0.0,0.00046085571233500227
baseline_v2_transitionpilottargetsnrdbm18p0_s20261122,target_snr_db,-18.0,20261122,Row complex LS / Wiener robust IRLS [scientific controlled],scientific_controlled,1.5,0.0,1.8965255651646184e-06
