target,validation_mode,holdout_group,n,n_folds,ridge_lambda,rmse,mae,r2,scope,n_train,n_test,fold_rmse,fold_mae
best_adaptive_SCNR_improvement_dB,leave_one_case_out,44,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.0322769574838456,0.0322769574838456
best_adaptive_SCNR_improvement_dB,leave_one_case_out,45,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.0297643751584188,0.0297643751584188
best_adaptive_SCNR_improvement_dB,leave_one_case_out,46,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.019057935824990047,0.019057935824990047
best_adaptive_SCNR_improvement_dB,leave_one_case_out,47,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.010176997988448656,0.010176997988448656
best_adaptive_SCNR_improvement_dB,leave_one_seed_out,aggregate,48,8,1.0,0.18990061997782953,0.17151663388365238,-11.011449790571849,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,,,,
best_adaptive_SCNR_improvement_dB,leave_one_seed_out,20261121,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,42,6,0.3098800366785209,0.3098800366785187
best_adaptive_SCNR_improvement_dB,leave_one_seed_out,20261122,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,42,6,0.16726126509127223,0.16726126509126926
best_adaptive_SCNR_improvement_dB,leave_one_seed_out,20261123,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,42,6,0.13977931474327862,0.13977931474327673
best_adaptive_SCNR_improvement_dB,leave_one_seed_out,20261131,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,42,6,0.11125622696796221,0.11125622696795635
best_adaptive_SCNR_improvement_dB,leave_one_seed_out,20261132,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,42,6,0.25407029533237285,0.25407029533237163
best_adaptive_SCNR_improvement_dB,leave_one_seed_out,20261133,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,42,6,0.2374839201523708,0.23748392015237071
best_adaptive_SCNR_improvement_dB,leave_one_seed_out,20261134,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,42,6,0.07905381123620679,0.07905381123620175
best_adaptive_SCNR_improvement_dB,leave_one_seed_out,20261135,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,42,6,0.07334820086726082,0.07334820086725398
