split,scene_id,role,method,status,pfa,hit_cells,false_clusters,selected,valid_cfar_test_cells,configured_pf,cfar_mode,lambda
target_safe_oracle,target_safe_oracle_004,target_off,J5_Selective_Physics_Calibration,measured,0.008600298939842209,4465,11,11,519168,1e-06,dynamic,0.25
target_safe_oracle,target_safe_oracle_004,target_on,J5_Selective_Physics_Calibration,measured,0.008631117480276134,4481,12,12,519168,1e-06,dynamic,0.25
target_safe_oracle,target_safe_oracle_004,target_off,J5_Selective_Physics_Calibration,measured,0.00860415125739645,4467,11,11,519168,1e-06,dynamic,0.5
target_safe_oracle,target_safe_oracle_004,target_on,J5_Selective_Physics_Calibration,measured,0.008627265162721894,4479,12,12,519168,1e-06,dynamic,0.5
target_safe_oracle,target_safe_oracle_004,target_off,J5_Selective_Physics_Calibration,measured,0.00860222509861933,4466,11,11,519168,1e-06,dynamic,0.75
target_safe_oracle,target_safe_oracle_004,target_on,J5_Selective_Physics_Calibration,measured,0.008631117480276134,4481,12,12,519168,1e-06,dynamic,0.75
target_safe_oracle,target_safe_oracle_004,target_off,J5_Selective_Physics_Calibration,measured,0.00860607741617357,4468,11,11,519168,1e-06,dynamic,1.0
target_safe_oracle,target_safe_oracle_004,target_on,J5_Selective_Physics_Calibration,measured,0.008634969797830374,4483,12,12,519168,1e-06,dynamic,1.0
target_safe_oracle,target_safe_oracle_004,target_off,J6_Joint_Phase_Surface,measured,0.008600298939842209,4465,11,11,519168,1e-06,dynamic,0.0
target_safe_oracle,target_safe_oracle_004,target_on,J6_Joint_Phase_Surface,measured,0.008627265162721894,4479,12,12,519168,1e-06,dynamic,0.0
target_safe_oracle,target_safe_oracle_004,target_off,J6_Joint_Phase_Surface,measured,0.00860607741617357,4468,9,9,519168,1e-06,dynamic,0.25
target_safe_oracle,target_safe_oracle_004,target_on,J6_Joint_Phase_Surface,measured,0.008629191321499015,4480,10,10,519168,1e-06,dynamic,0.25
target_safe_oracle,target_safe_oracle_004,target_off,J6_Joint_Phase_Surface,measured,0.008596446622287968,4463,8,8,519168,1e-06,dynamic,0.5
target_safe_oracle,target_safe_oracle_004,target_on,J6_Joint_Phase_Surface,measured,0.008617634368836292,4474,9,9,519168,1e-06,dynamic,0.5
target_safe_oracle,target_safe_oracle_004,target_off,J6_Joint_Phase_Surface,measured,0.008567554240631164,4448,10,10,519168,1e-06,dynamic,0.75
target_safe_oracle,target_safe_oracle_004,target_on,J6_Joint_Phase_Surface,measured,0.008596446622287968,4463,11,11,519168,1e-06,dynamic,0.75
target_safe_oracle,target_safe_oracle_004,target_off,J6_Joint_Phase_Surface,measured,0.008710089990138068,4522,11,11,519168,1e-06,dynamic,1.0
target_safe_oracle,target_safe_oracle_004,target_on,J6_Joint_Phase_Surface,measured,0.008737056213017751,4536,12,12,519168,1e-06,dynamic,1.0
target_safe_oracle,target_safe_oracle_005,target_off,J0_Current,measured,0.008034008259368836,4171,19,19,519168,1e-06,dynamic,0.0
target_safe_oracle,target_safe_oracle_005,target_on,J0_Current,measured,0.008016672830374754,4162,19,19,519168,1e-06,dynamic,0.0
target_safe_oracle,target_safe_oracle_005,target_off,J5_Selective_Physics_Calibration,measured,0.008034008259368836,4171,19,19,519168,1e-06,dynamic,0.0
target_safe_oracle,target_safe_oracle_005,target_on,J5_Selective_Physics_Calibration,measured,0.008016672830374754,4162,19,19,519168,1e-06,dynamic,0.0
target_safe_oracle,target_safe_oracle_005,target_off,J5_Selective_Physics_Calibration,measured,0.008215067184418145,4265,21,21,519168,1e-06,dynamic,0.25
target_safe_oracle,target_safe_oracle_005,target_on,J5_Selective_Physics_Calibration,measured,0.008213141025641026,4264,21,21,519168,1e-06,dynamic,0.25
target_safe_oracle,target_safe_oracle_005,target_off,J5_Selective_Physics_Calibration,measured,0.008076383752465483,4193,20,20,519168,1e-06,dynamic,0.5
target_safe_oracle,target_safe_oracle_005,target_on,J5_Selective_Physics_Calibration,measured,0.008103349975345168,4207,20,20,519168,1e-06,dynamic,0.5
target_safe_oracle,target_safe_oracle_005,target_off,J5_Selective_Physics_Calibration,measured,0.008163060897435898,4238,20,20,519168,1e-06,dynamic,0.75
target_safe_oracle,target_safe_oracle_005,target_on,J5_Selective_Physics_Calibration,measured,0.008099497657790927,4205,20,20,519168,1e-06,dynamic,0.75
target_safe_oracle,target_safe_oracle_005,target_off,J5_Selective_Physics_Calibration,measured,0.008122611563116371,4217,22,22,519168,1e-06,dynamic,1.0
target_safe_oracle,target_safe_oracle_005,target_on,J5_Selective_Physics_Calibration,measured,0.008128390039447733,4220,22,22,519168,1e-06,dynamic,1.0
